ranks,ballotID,rank1,rank2,rank3
"['Cathy Spann', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",299,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams
"['Blong Yang', 'Cathy Spann', 'Jeremiah Ellison']",300,Blong Yang,Cathy Spann,Jeremiah Ellison
"['Cathy Spann', 'Blong Yang', 'Jeremiah Ellison']",301,Cathy Spann,Blong Yang,Jeremiah Ellison
"['skipped', 'skipped', 'skipped']",302,skipped,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",303,Blong Yang,skipped,skipped
"['skipped', 'skipped', 'skipped']",304,skipped,skipped,skipped
"['Cathy Spann', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",305,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",306,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Raeisha (RA) Williams', 'Jeremiah Ellison', 'skipped']",307,Raeisha (RA) Williams,Jeremiah Ellison,skipped
"['Blong Yang', 'Blong Yang', 'skipped']",308,Blong Yang,Blong Yang,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",309,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Blong Yang', 'Jeremiah Ellison', 'Cathy Spann']",310,Blong Yang,Jeremiah Ellison,Cathy Spann
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",311,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Cathy Spann', 'skipped', 'skipped']",312,Cathy Spann,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",313,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",314,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",315,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",316,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Blong Yang', 'Blong Yang', 'Blong Yang']",317,Blong Yang,Blong Yang,Blong Yang
"['Raeisha (RA) Williams', 'skipped', 'skipped']",318,Raeisha (RA) Williams,skipped,skipped
"['Jeremiah Ellison', 'skipped', 'skipped']",319,Jeremiah Ellison,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",320,Blong Yang,skipped,skipped
"['Raeisha (RA) Williams', 'skipped', 'skipped']",321,Raeisha (RA) Williams,skipped,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",322,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Blong Yang', 'Cathy Spann', 'Raeisha (RA) Williams']",323,Blong Yang,Cathy Spann,Raeisha (RA) Williams
"['Blong Yang', 'skipped', 'skipped']",324,Blong Yang,skipped,skipped
"['Raeisha (RA) Williams', 'Jeremiah Ellison', 'Cathy Spann']",325,Raeisha (RA) Williams,Jeremiah Ellison,Cathy Spann
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",326,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",327,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",328,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",329,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Jeremiah Ellison', 'skipped', 'skipped']",330,Jeremiah Ellison,skipped,skipped
"['Jeremiah Ellison', 'Blong Yang', 'Raeisha (RA) Williams']",331,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'skipped']",332,Jeremiah Ellison,Raeisha (RA) Williams,skipped
"['Cathy Spann', 'Blong Yang', 'skipped']",333,Cathy Spann,Blong Yang,skipped
"['Blong Yang', 'skipped', 'skipped']",334,Blong Yang,skipped,skipped
