ranks,ballotID,rank1,rank2,rank3
"['DESLEY BROOKS', 'skipped', 'skipped']",1,DESLEY BROOKS,skipped,skipped
"['JAMES MOORE', 'SHEREDA F. NOSAKHARE', 'DESLEY BROOKS']",2,JAMES MOORE,SHEREDA F. NOSAKHARE,DESLEY BROOKS
"['DESLEY BROOKS', 'SHEREDA F. NOSAKHARE', 'JAMES MOORE']",3,DESLEY BROOKS,SHEREDA F. NOSAKHARE,JAMES MOORE
"['JAMES MOORE', 'MICHAEL V. JOHNSON', 'DESLEY BROOKS']",4,JAMES MOORE,MICHAEL V. JOHNSON,DESLEY BROOKS
"['MICHAEL V. JOHNSON', 'SHEREDA F. NOSAKHARE', 'DESLEY BROOKS']",5,MICHAEL V. JOHNSON,SHEREDA F. NOSAKHARE,DESLEY BROOKS
"['SHEREDA F. NOSAKHARE', 'JAMES MOORE', 'MICHAEL V. JOHNSON']",6,SHEREDA F. NOSAKHARE,JAMES MOORE,MICHAEL V. JOHNSON
"['MICHAEL V. JOHNSON', 'skipped', 'skipped']",7,MICHAEL V. JOHNSON,skipped,skipped
"['JAMES MOORE', 'SHEREDA F. NOSAKHARE', 'JAMES MOORE']",8,JAMES MOORE,SHEREDA F. NOSAKHARE,JAMES MOORE
"['DESLEY BROOKS', 'DESLEY BROOKS', 'DESLEY BROOKS']",9,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS
"['DESLEY BROOKS', 'DESLEY BROOKS', 'DESLEY BROOKS']",10,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS
"['DESLEY BROOKS', 'DESLEY BROOKS', 'DESLEY BROOKS']",11,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS
"['SHEREDA F. NOSAKHARE', 'DESLEY BROOKS', 'MICHAEL V. JOHNSON']",12,SHEREDA F. NOSAKHARE,DESLEY BROOKS,MICHAEL V. JOHNSON
"['DESLEY BROOKS', 'MICHAEL V. JOHNSON', 'DESLEY BROOKS']",13,DESLEY BROOKS,MICHAEL V. JOHNSON,DESLEY BROOKS
