ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
2453,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2454,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2455,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2456,"McGovern, Marc C.","Schuster, Luc","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
2457,"Malner, Stefan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2458,"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2459,"McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2460,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
2461,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
2462,"Nolan, Patricia M.","Harding, Richard, Jr.","Grassi, Joseph G.","McGovern, Marc C.","Schuster, Luc","Fantini, Alfred B.",skipped,skipped,skipped
2463,"Nolan, Patricia M.","Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.","Tauber, Nancy","Schuster, Luc","McGovern, Marc C.","Malner, Stefan","Lemily Wiggins, Gail"
2464,"Grassi, Joseph G.","Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
2465,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2466,"Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.","McGovern, Marc C.","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped
2467,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2468,"Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2469,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped
2470,"Fantini, Alfred B.","Grassi, Joseph G.","Schuster, Luc",skipped,skipped,skipped,skipped,"Nolan, Patricia M.",skipped
2471,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.","Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped
2472,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2473,"Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2474,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2475,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2476,"Grassi, Joseph G.","Nolan, Patricia M.","McGovern, Marc C.","Harding, Richard, Jr.","Fantini, Alfred B.","Tauber, Nancy","Schuster, Luc","Malner, Stefan",skipped
2477,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
2478,"Grassi, Joseph G.","Fantini, Alfred B.","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped,skipped
2479,"McGovern, Marc C.","Malner, Stefan","Lemily Wiggins, Gail","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped
2480,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2481,"Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2482,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2483,"Grassi, Joseph G.","Fantini, Alfred B.","Nolan, Patricia M.","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped,skipped
2484,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2485,"Fantini, Alfred B.","Harding, Richard, Jr.","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped,skipped
2486,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2487,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2488,"Nolan, Patricia M.","Harding, Richard, Jr.","McGovern, Marc C.","Schuster, Luc","Tauber, Nancy","Grassi, Joseph G.","Fantini, Alfred B.","Malner, Stefan","Lemily Wiggins, Gail"
2489,"Nolan, Patricia M.","Tauber, Nancy","Schuster, Luc","Harding, Richard, Jr.","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped
2490,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2491,"Malner, Stefan","Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
2492,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
2493,"Grassi, Joseph G.","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
2494,"McGovern, Marc C.","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Tauber, Nancy",skipped,skipped,skipped,skipped
2495,"McGovern, Marc C.","Harding, Richard, Jr.","Schuster, Luc","Tauber, Nancy","Lemily Wiggins, Gail","Nolan, Patricia M.","Grassi, Joseph G.",skipped,skipped
2496,"Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2497,"Grassi, Joseph G.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2498,"Fantini, Alfred B.","Grassi, Joseph G.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
2499,"Harding, Richard, Jr.","Lemily Wiggins, Gail","Nolan, Patricia M.","McGovern, Marc C.","Malner, Stefan","Schuster, Luc","Tauber, Nancy","Fantini, Alfred B.","Grassi, Joseph G."
2500,"Grassi, Joseph G.","Fantini, Alfred B.","Nolan, Patricia M.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
2501,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2502,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
2503,"Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2504,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2505,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
2506,"Nolan, Patricia M.","McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Lemily Wiggins, Gail",skipped,skipped,skipped,skipped
2507,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2508,"Tauber, Nancy","Lemily Wiggins, Gail","Malner, Stefan",skipped,skipped,skipped,skipped,skipped,skipped
2509,"McGovern, Marc C.","Schuster, Luc","Grassi, Joseph G.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
2510,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped
2511,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2512,"McGovern, Marc C.","Lemily Wiggins, Gail","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
2513,"Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Tauber, Nancy","Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Malner, Stefan","Lemily Wiggins, Gail"
2514,"Grassi, Joseph G.","Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
2515,"Grassi, Joseph G.","Fantini, Alfred B.","Tauber, Nancy","Schuster, Luc","Nolan, Patricia M.","Harding, Richard, Jr.",skipped,skipped,skipped
2516,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2517,"McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2518,"Grassi, Joseph G.","Fantini, Alfred B.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
2519,"Grassi, Joseph G.","Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
2520,"Nolan, Patricia M.","Schuster, Luc","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
2521,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
2522,"Fantini, Alfred B.","Grassi, Joseph G.","Schuster, Luc","Tauber, Nancy","Lemily Wiggins, Gail","Nolan, Patricia M.",skipped,skipped,skipped
2523,"Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Nolan, Patricia M.",skipped,skipped,skipped
2524,"Nolan, Patricia M.","Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
2525,"Grassi, Joseph G.","Schuster, Luc","Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
2526,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2527,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2528,"Malner, Stefan","Schuster, Luc","McGovern, Marc C.","Harding, Richard, Jr.","Tauber, Nancy","Grassi, Joseph G.",skipped,skipped,skipped
2529,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2530,"Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy","Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped
2531,"Schuster, Luc","Grassi, Joseph G.","Harding, Richard, Jr.","Nolan, Patricia M.","Lemily Wiggins, Gail","Tauber, Nancy","Fantini, Alfred B.","McGovern, Marc C.","Malner, Stefan"
2532,"Lemily Wiggins, Gail",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
