ranks,ballotID,rank1,rank2,rank3
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DENISHA DELANE']",3786,DENISHA DELANE,ADOLFO CABRAL,DENISHA DELANE
"['skipped', 'skipped', 'skipped']",3787,skipped,skipped,skipped
"['DENISHA DELANE', 'DENISHA DELANE', 'DENISHA DELANE']",3788,DENISHA DELANE,DENISHA DELANE,DENISHA DELANE
"['DENISHA DELANE', 'DARRYL MOORE', 'ADOLFO CABRAL']",3789,DENISHA DELANE,DARRYL MOORE,ADOLFO CABRAL
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3790,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['skipped', 'skipped', 'skipped']",3791,skipped,skipped,skipped
"['DENISHA DELANE', 'skipped', 'skipped']",3792,DENISHA DELANE,skipped,skipped
"['skipped', 'skipped', 'skipped']",3793,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",3794,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",3795,skipped,skipped,skipped
"['DENISHA DELANE', 'DARRYL MOORE', 'ADOLFO CABRAL']",3796,DENISHA DELANE,DARRYL MOORE,ADOLFO CABRAL
"['skipped', 'skipped', 'skipped']",3797,skipped,skipped,skipped
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3798,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DENISHA DELANE', 'DARRYL MOORE', 'ADOLFO CABRAL']",3799,DENISHA DELANE,DARRYL MOORE,ADOLFO CABRAL
"['DARRYL MOORE', 'skipped', 'skipped']",3800,DARRYL MOORE,skipped,skipped
"['DARRYL MOORE', 'DENISHA DELANE', 'skipped']",3801,DARRYL MOORE,DENISHA DELANE,skipped
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3802,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'ADOLFO CABRAL', 'skipped']",3803,DARRYL MOORE,ADOLFO CABRAL,skipped
"['skipped', 'skipped', 'skipped']",3804,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",3805,skipped,skipped,skipped
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3806,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3807,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['skipped', 'skipped', 'skipped']",3808,skipped,skipped,skipped
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3809,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",3810,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3811,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'skipped', 'skipped']",3812,DARRYL MOORE,skipped,skipped
"['DARRYL MOORE', 'skipped', 'skipped']",3813,DARRYL MOORE,skipped,skipped
"['skipped', 'skipped', 'skipped']",3814,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",3815,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",3816,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",3817,skipped,skipped,skipped
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",3818,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",3819,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DARRYL MOORE', 'DARRYL MOORE', 'DARRYL MOORE']",3820,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE
"['DENISHA DELANE', 'DARRYL MOORE', 'ADOLFO CABRAL']",3821,DENISHA DELANE,DARRYL MOORE,ADOLFO CABRAL
"['DARRYL MOORE', 'DENISHA DELANE', 'DARRYL MOORE']",3822,DARRYL MOORE,DENISHA DELANE,DARRYL MOORE
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3823,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3824,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3825,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3826,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3827,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3828,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3829,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3830,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DARRYL MOORE', 'DARRYL MOORE', 'skipped']",3831,DARRYL MOORE,DARRYL MOORE,skipped
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3832,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3833,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DARRYL MOORE', 'ADOLFO CABRAL', 'DENISHA DELANE']",3834,DARRYL MOORE,ADOLFO CABRAL,DENISHA DELANE
"['DARRYL MOORE', 'DENISHA DELANE', 'ADOLFO CABRAL']",3835,DARRYL MOORE,DENISHA DELANE,ADOLFO CABRAL
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3836,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DENISHA DELANE', 'ADOLFO CABRAL', 'DARRYL MOORE']",3837,DENISHA DELANE,ADOLFO CABRAL,DARRYL MOORE
"['DENISHA DELANE', 'DARRYL MOORE', 'ADOLFO CABRAL']",3838,DENISHA DELANE,DARRYL MOORE,ADOLFO CABRAL
"['DENISHA DELANE', 'DARRYL MOORE', 'DENISHA DELANE']",3839,DENISHA DELANE,DARRYL MOORE,DENISHA DELANE
"['ADOLFO CABRAL', 'skipped', 'skipped']",3840,ADOLFO CABRAL,skipped,skipped
