ranks,ballotID,rank1,rank2,rank3
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10574,CHRIS JACKSON,JAMES HARRIS,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10575,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10576,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",10577,CHRIS JACKSON,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10578,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10579,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['skipped', 'skipped', 'skipped']",10580,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10581,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'skipped', 'JAMES HARRIS']",10582,JAMES HARRIS,skipped,JAMES HARRIS
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10583,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10584,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10585,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10586,CHRIS JACKSON,JAMES HARRIS,skipped
"['skipped', 'skipped', 'skipped']",10587,skipped,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10588,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10589,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10590,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'CHRIS JACKSON']",10591,JAMES HARRIS,CHRIS JACKSON,CHRIS JACKSON
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10592,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'skipped', 'skipped']",10593,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'CHRIS JACKSON']",10594,JAMES HARRIS,JAMES HARRIS,CHRIS JACKSON
"['skipped', 'skipped', 'skipped']",10595,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10596,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'skipped', 'skipped']",10597,JAMES HARRIS,skipped,skipped
"['skipped', 'skipped', 'skipped']",10598,skipped,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10599,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['skipped', 'skipped', 'skipped']",10600,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",10601,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10602,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",10603,CHRIS JACKSON,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10604,JAMES HARRIS,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10605,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['skipped', 'skipped', 'skipped']",10606,skipped,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10607,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",10608,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10609,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10610,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10611,CHRIS JACKSON,JAMES HARRIS,skipped
"['skipped', 'skipped', 'skipped']",10612,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10613,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10614,JAMES HARRIS,CHRIS JACKSON,skipped
"['skipped', 'skipped', 'skipped']",10615,skipped,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10616,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10617,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10618,JAMES HARRIS,skipped,skipped
"['skipped', 'skipped', 'skipped']",10619,skipped,skipped,skipped
"['CHRIS JACKSON', 'CHRIS JACKSON', 'JAMES HARRIS']",10620,CHRIS JACKSON,CHRIS JACKSON,JAMES HARRIS
"['CHRIS JACKSON', 'CHRIS JACKSON', 'JAMES HARRIS']",10621,CHRIS JACKSON,CHRIS JACKSON,JAMES HARRIS
"['skipped', 'skipped', 'skipped']",10622,skipped,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10623,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'skipped', 'skipped']",10624,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10625,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10626,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10627,CHRIS JACKSON,JAMES HARRIS,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10628,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['skipped', 'skipped', 'skipped']",10629,skipped,skipped,skipped
"['JAMES HARRIS', 'skipped', 'skipped']",10630,JAMES HARRIS,skipped,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",10631,CHRIS JACKSON,skipped,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10632,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10633,CHRIS JACKSON,JAMES HARRIS,skipped
"['skipped', 'JAMES HARRIS', 'CHRIS JACKSON']",10634,skipped,JAMES HARRIS,CHRIS JACKSON
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10635,CHRIS JACKSON,JAMES HARRIS,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10636,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",10637,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",10638,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10639,CHRIS JACKSON,JAMES HARRIS,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10640,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'skipped', 'skipped']",10641,JAMES HARRIS,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10642,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['CHRIS JACKSON', 'skipped', 'skipped']",10643,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10644,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10645,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10646,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10647,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10648,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10649,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10650,CHRIS JACKSON,JAMES HARRIS,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10651,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10652,CHRIS JACKSON,JAMES HARRIS,skipped
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",10653,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10654,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10655,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10656,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['skipped', 'JAMES HARRIS', 'CHRIS JACKSON']",10657,skipped,JAMES HARRIS,CHRIS JACKSON
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10658,JAMES HARRIS,CHRIS JACKSON,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'skipped']",10659,JAMES HARRIS,CHRIS JACKSON,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",10660,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10661,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['JAMES HARRIS', 'skipped', 'skipped']",10662,JAMES HARRIS,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10663,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['CHRIS JACKSON', 'CHRIS JACKSON', 'CHRIS JACKSON']",10664,CHRIS JACKSON,CHRIS JACKSON,CHRIS JACKSON
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10665,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10666,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10667,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10668,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10669,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10670,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'skipped', 'skipped']",10671,JAMES HARRIS,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10672,CHRIS JACKSON,JAMES HARRIS,skipped
"['skipped', 'skipped', 'skipped']",10673,skipped,skipped,skipped
"['CHRIS JACKSON', 'skipped', 'skipped']",10674,CHRIS JACKSON,skipped,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'skipped']",10675,CHRIS JACKSON,JAMES HARRIS,skipped
"['CHRIS JACKSON', 'JAMES HARRIS', 'JAMES HARRIS']",10676,CHRIS JACKSON,JAMES HARRIS,JAMES HARRIS
"['skipped', 'skipped', 'skipped']",10677,skipped,skipped,skipped
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10678,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'CHRIS JACKSON', 'JAMES HARRIS']",10679,JAMES HARRIS,CHRIS JACKSON,JAMES HARRIS
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10680,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10681,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10682,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
"['JAMES HARRIS', 'JAMES HARRIS', 'JAMES HARRIS']",10683,JAMES HARRIS,JAMES HARRIS,JAMES HARRIS
"['CHRIS JACKSON', 'JAMES HARRIS', 'CHRIS JACKSON']",10684,CHRIS JACKSON,JAMES HARRIS,CHRIS JACKSON
