ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16
30,"Galluccio, Anthony D.","Moore, M. Kevin","Reeves, Kenneth E.","Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
31,"Davis, Henrietta","Reeves, Kenneth E.","Decker, Marjorie C.","Kelley, Craig A.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,"Kelley, Craig A.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,"Seidel, Sam","Simmons, E. Denise","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
34,"Seidel, Sam","Ward, Larry W.","Davis, Henrietta","Simmons, E. Denise","Murphy, Brian","Maher, David P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
35,"Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,"Simmons, E. Denise","Reeves, Kenneth E.","Kelley, Craig A.","Decker, Marjorie C.","Davis, Henrietta","Murphy, Brian","Moree, Gregg J.","Moore, M. Kevin","Maher, David P.","Galluccio, Anthony D.","Sullivan, Edward J.","Seidel, Sam",skipped,"Podgers, Kathy","Janik, Jonathan S.","Toomey, Timothy J., Jr."
37,"Moore, M. Kevin","Janik, Jonathan S.","Ward, Larry W.","Seidel, Sam","Podgers, Kathy","Moree, Gregg J.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,"Reeves, Kenneth E.","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,"Kelley, Craig A.","Reeves, Kenneth E.","Davis, Henrietta","Galluccio, Anthony D.","Moree, Gregg J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,"Janik, Jonathan S.","Murphy, Brian","Simmons, E. Denise","Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,"Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,"Kelley, Craig A.","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","Simmons, E. Denise","Seidel, Sam","Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,"Kelley, Craig A.","Murphy, Brian","Seidel, Sam","Davis, Henrietta","Maher, David P.","Simmons, E. Denise","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Ward, Larry W.","Janik, Jonathan S.","Moore, M. Kevin",skipped,skipped,skipped,skipped,skipped
44,"Janik, Jonathan S.","Podgers, Kathy","Davis, Henrietta","Ward, Larry W.","Murphy, Brian","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,"Maher, David P.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,"Sullivan, Edward J.","Moree, Gregg J.","Maher, David P.","Simmons, E. Denise","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Galluccio, Anthony D.","Kelley, Craig A.","Murphy, Brian","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped
47,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,"Murphy, Brian","Decker, Marjorie C.","Sullivan, Edward J.","Davis, Henrietta","Galluccio, Anthony D.","Simmons, E. Denise","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,"Davis, Henrietta","Maher, David P.","Murphy, Brian","Simmons, E. Denise","Reeves, Kenneth E.","Janik, Jonathan S.","Seidel, Sam","Sullivan, Edward J.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Kelley, Craig A.","Moore, M. Kevin","Galluccio, Anthony D.","Podgers, Kathy","Ward, Larry W.","Moree, Gregg J."
50,"Murphy, Brian","Kelley, Craig A.","Seidel, Sam","Decker, Marjorie C.","Simmons, E. Denise","Maher, David P.","Ward, Larry W.","Davis, Henrietta","Janik, Jonathan S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,"Davis, Henrietta","Murphy, Brian","Maher, David P.","Simmons, E. Denise","Seidel, Sam","Ward, Larry W.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
