ranks,ballotID,rank1,rank2,rank3
"['STEPHEN H. CASSIDY', 'JOHN R. PALAU', 'SARA M. MESTAS']",22718,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS
"['STEPHEN H. CASSIDY', 'JOHN R. PALAU', 'SARA M. MESTAS']",22719,STEPHEN H. CASSIDY,JOHN R. PALAU,SARA M. MESTAS
"['STEPHEN H. CASSIDY', 'SARA M. MESTAS', ""ANTHONY B. ''TONY'' SANTOS""]",22720,STEPHEN H. CASSIDY,SARA M. MESTAS,ANTHONY B. ''TONY'' SANTOS
"[""ANTHONY B. ''TONY'' SANTOS"", 'JOYCE RUTLEDGE STAROSCIAK', 'skipped']",22721,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,skipped
"['STEPHEN H. CASSIDY', 'SARA M. MESTAS', 'JOHN R. PALAU']",22722,STEPHEN H. CASSIDY,SARA M. MESTAS,JOHN R. PALAU
"['SARA M. MESTAS', 'JOHN R. PALAU', 'STEPHEN H. CASSIDY']",22723,SARA M. MESTAS,JOHN R. PALAU,STEPHEN H. CASSIDY
"['STEPHEN H. CASSIDY', 'writein', 'writein']",22724,STEPHEN H. CASSIDY,writein,writein
"[""ANTHONY B. ''TONY'' SANTOS"", 'STEPHEN H. CASSIDY', 'SARA M. MESTAS']",22725,ANTHONY B. ''TONY'' SANTOS,STEPHEN H. CASSIDY,SARA M. MESTAS
"['STEPHEN H. CASSIDY', 'writein', 'writein']",22726,STEPHEN H. CASSIDY,writein,writein
"['SARA M. MESTAS', 'JOHN R. PALAU', 'STEPHEN H. CASSIDY']",22727,SARA M. MESTAS,JOHN R. PALAU,STEPHEN H. CASSIDY
"['STEPHEN H. CASSIDY', ""ANTHONY B. ''TONY'' SANTOS"", ""ANTHONY B. ''TONY'' SANTOS""]",22728,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS,ANTHONY B. ''TONY'' SANTOS
"[""ANTHONY B. ''TONY'' SANTOS"", 'JOYCE RUTLEDGE STAROSCIAK', 'SARA M. MESTAS']",22729,ANTHONY B. ''TONY'' SANTOS,JOYCE RUTLEDGE STAROSCIAK,SARA M. MESTAS
"['SARA M. MESTAS', 'STEPHEN H. CASSIDY', 'JOYCE RUTLEDGE STAROSCIAK']",22730,SARA M. MESTAS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK
"[""ANTHONY B. ''TONY'' SANTOS"", 'SARA M. MESTAS', 'JOHN R. PALAU']",22731,ANTHONY B. ''TONY'' SANTOS,SARA M. MESTAS,JOHN R. PALAU
"['SARA M. MESTAS', 'JOYCE RUTLEDGE STAROSCIAK', 'STEPHEN H. CASSIDY']",22732,SARA M. MESTAS,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY
"['JOYCE RUTLEDGE STAROSCIAK', 'STEPHEN H. CASSIDY', ""ANTHONY B. ''TONY'' SANTOS""]",22733,JOYCE RUTLEDGE STAROSCIAK,STEPHEN H. CASSIDY,ANTHONY B. ''TONY'' SANTOS
"['SARA M. MESTAS', 'STEPHEN H. CASSIDY', 'JOYCE RUTLEDGE STAROSCIAK']",22734,SARA M. MESTAS,STEPHEN H. CASSIDY,JOYCE RUTLEDGE STAROSCIAK
