ranks,ballotID,rank1,rank2,rank3
"['MIKE YOUNG', 'JOHN FARRELL', 'NORMAN YEE']",34669,MIKE YOUNG,JOHN FARRELL,NORMAN YEE
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",34670,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['JOEL ENGARDIO', 'MIKE YOUNG', 'BEN MATRANGA']",34671,JOEL ENGARDIO,MIKE YOUNG,BEN MATRANGA
"['JOHN FARRELL', 'JOEL ENGARDIO', 'MIKE YOUNG']",34672,JOHN FARRELL,JOEL ENGARDIO,MIKE YOUNG
"['BEN MATRANGA', 'JOEL ENGARDIO', 'JOHN FARRELL']",34673,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL
"['NORMAN YEE', 'BEN MATRANGA', 'skipped']",34674,NORMAN YEE,BEN MATRANGA,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'JOHN FARRELL']",34675,NORMAN YEE,MIKE YOUNG,JOHN FARRELL
"['BEN MATRANGA', 'NORMAN YEE', 'JOEL ENGARDIO']",34676,BEN MATRANGA,NORMAN YEE,JOEL ENGARDIO
"['BEN MATRANGA', 'JOEL ENGARDIO', 'JOHN FARRELL']",34677,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL
"['MIKE YOUNG', 'NORMAN YEE', 'BEN MATRANGA']",34678,MIKE YOUNG,NORMAN YEE,BEN MATRANGA
"['MIKE YOUNG', 'JOEL ENGARDIO', 'BEN MATRANGA']",34679,MIKE YOUNG,JOEL ENGARDIO,BEN MATRANGA
"['MIKE YOUNG', 'JOEL ENGARDIO', 'NORMAN YEE']",34680,MIKE YOUNG,JOEL ENGARDIO,NORMAN YEE
"['JOEL ENGARDIO', 'skipped', 'skipped']",34681,JOEL ENGARDIO,skipped,skipped
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",34682,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['skipped', 'NORMAN YEE', 'skipped']",34683,skipped,NORMAN YEE,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",34684,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
"['BEN MATRANGA', 'JOHN FARRELL', 'MIKE YOUNG']",34685,BEN MATRANGA,JOHN FARRELL,MIKE YOUNG
"['JOEL ENGARDIO', 'skipped', 'skipped']",34686,JOEL ENGARDIO,skipped,skipped
"['JOEL ENGARDIO', 'JOEL ENGARDIO', 'JOEL ENGARDIO']",34687,JOEL ENGARDIO,JOEL ENGARDIO,JOEL ENGARDIO
"['JOEL ENGARDIO', 'NORMAN YEE', 'JOHN FARRELL']",34688,JOEL ENGARDIO,NORMAN YEE,JOHN FARRELL
"['BEN MATRANGA', 'JOHN FARRELL', 'MIKE YOUNG']",34689,BEN MATRANGA,JOHN FARRELL,MIKE YOUNG
"['BEN MATRANGA', 'JOEL ENGARDIO', 'JOHN FARRELL']",34690,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL
"['JOEL ENGARDIO', 'BEN MATRANGA', 'JOHN FARRELL']",34691,JOEL ENGARDIO,BEN MATRANGA,JOHN FARRELL
"['JOHN FARRELL', 'BEN MATRANGA', 'MIKE YOUNG']",34692,JOHN FARRELL,BEN MATRANGA,MIKE YOUNG
"['BEN MATRANGA', 'MIKE YOUNG', 'JOEL ENGARDIO']",34693,BEN MATRANGA,MIKE YOUNG,JOEL ENGARDIO
"['MIKE YOUNG', 'NORMAN YEE', 'JOHN FARRELL']",34694,MIKE YOUNG,NORMAN YEE,JOHN FARRELL
"['BEN MATRANGA', 'JOEL ENGARDIO', 'NORMAN YEE']",34695,BEN MATRANGA,JOEL ENGARDIO,NORMAN YEE
"['BEN MATRANGA', 'MIKE YOUNG', 'JOHN FARRELL']",34696,BEN MATRANGA,MIKE YOUNG,JOHN FARRELL
"['BEN MATRANGA', 'skipped', 'skipped']",34697,BEN MATRANGA,skipped,skipped
"['JOHN FARRELL', 'MIKE YOUNG', 'NORMAN YEE']",34698,JOHN FARRELL,MIKE YOUNG,NORMAN YEE
"['NORMAN YEE', 'MIKE YOUNG', 'JOEL ENGARDIO']",34699,NORMAN YEE,MIKE YOUNG,JOEL ENGARDIO
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",34700,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['MIKE YOUNG', 'BEN MATRANGA', 'JOHN FARRELL']",34701,MIKE YOUNG,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'NORMAN YEE', 'skipped']",34702,NORMAN YEE,NORMAN YEE,skipped
"['NORMAN YEE', 'JOHN FARRELL', 'JOEL ENGARDIO']",34703,NORMAN YEE,JOHN FARRELL,JOEL ENGARDIO
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",34704,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['NORMAN YEE', 'skipped', 'skipped']",34705,NORMAN YEE,skipped,skipped
"['JOHN FARRELL', 'BEN MATRANGA', 'MIKE YOUNG']",34706,JOHN FARRELL,BEN MATRANGA,MIKE YOUNG
"['JOHN FARRELL', 'BEN MATRANGA', 'JOEL ENGARDIO']",34707,JOHN FARRELL,BEN MATRANGA,JOEL ENGARDIO
"['NORMAN YEE', 'skipped', 'skipped']",34708,NORMAN YEE,skipped,skipped
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",34709,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['NORMAN YEE', 'skipped', 'skipped']",34710,NORMAN YEE,skipped,skipped
"['JOEL ENGARDIO', 'JOEL ENGARDIO', 'JOEL ENGARDIO']",34711,JOEL ENGARDIO,JOEL ENGARDIO,JOEL ENGARDIO
"['JOHN FARRELL', 'BEN MATRANGA', 'JOEL ENGARDIO']",34712,JOHN FARRELL,BEN MATRANGA,JOEL ENGARDIO
"['NORMAN YEE', 'MIKE YOUNG', 'JOEL ENGARDIO']",34713,NORMAN YEE,MIKE YOUNG,JOEL ENGARDIO
"['BEN MATRANGA', 'skipped', 'skipped']",34714,BEN MATRANGA,skipped,skipped
"['NORMAN YEE', 'BEN MATRANGA', 'skipped']",34715,NORMAN YEE,BEN MATRANGA,skipped
"['BEN MATRANGA', 'JOEL ENGARDIO', 'JOHN FARRELL']",34716,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",34717,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['JOEL ENGARDIO', 'BEN MATRANGA', 'NORMAN YEE']",34718,JOEL ENGARDIO,BEN MATRANGA,NORMAN YEE
"['NORMAN YEE', 'skipped', 'skipped']",34719,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'NORMAN YEE', 'JOHN FARRELL']",34720,BEN MATRANGA,NORMAN YEE,JOHN FARRELL
