ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18
1,"Sullivan, Michael A.","Reeves, Kenneth E.","Murphy, Brian","Kelley, Craig A.","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,"Decker, Marjorie C.","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
3,"Davis, Henrietta","LaTremouille, Robert J.","Kelley, Craig A.","Seidel, Sam","Toomey, Timothy J., Jr.","Green, Andre Lerone","Gordon, Jesse A.","Hall, Robert Lee, Sr.","Hees, Bill","Maher, David P.","Reeves, Kenneth E.","Murphy, Brian","Adkins, Lawrence J.","Condit, James E., III","Decker, Marjorie C.","Galluccio, Anthony D.","Simmons, Denise","Sullivan, Michael A."
4,"Murphy, Brian","Decker, Marjorie C.","Seidel, Sam","Kelley, Craig A.","Adkins, Lawrence J.","Davis, Henrietta","Gordon, Jesse A.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
5,"Sullivan, Michael A.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,"Kelley, Craig A.","Reeves, Kenneth E.","Seidel, Sam","Green, Andre Lerone","Decker, Marjorie C.","Davis, Henrietta","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
7,"Kelley, Craig A.","Decker, Marjorie C.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Reeves, Kenneth E.","Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Simmons, Denise","Toomey, Timothy J., Jr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,"Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
10,"Sullivan, Michael A.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
