ranks,ballotID,rank1,rank2,rank3
"['Jono Cowgill', 'skipped', 'skipped']",5424,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",5425,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",5426,Jono Cowgill,Tom Nordyke,skipped
"['skipped', 'skipped', 'skipped']",5427,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5428,skipped,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",5429,Tom Nordyke,Jono Cowgill,skipped
"['Tom Nordyke', 'skipped', 'skipped']",5430,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",5431,skipped,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'Tom Nordyke']",5432,Tom Nordyke,Jono Cowgill,Tom Nordyke
"['skipped', 'skipped', 'skipped']",5433,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5434,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5435,skipped,skipped,skipped
"['Jono Cowgill', 'Jono Cowgill', 'Jono Cowgill']",5436,Jono Cowgill,Jono Cowgill,Jono Cowgill
"['skipped', 'skipped', 'skipped']",5437,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5438,skipped,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",5439,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'skipped', 'skipped']",5440,Jono Cowgill,skipped,skipped
"['skipped', 'skipped', 'skipped']",5441,skipped,skipped,skipped
"['Tom Nordyke', 'skipped', 'skipped']",5442,Tom Nordyke,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",5443,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",5444,Jono Cowgill,Tom Nordyke,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",5445,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'Tom Nordyke', 'writein']",5446,Jono Cowgill,Tom Nordyke,writein
"['skipped', 'skipped', 'skipped']",5447,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",5448,Jono Cowgill,Tom Nordyke,skipped
"['skipped', 'skipped', 'skipped']",5449,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",5450,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'skipped', 'skipped']",5451,Jono Cowgill,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",5452,Jono Cowgill,Tom Nordyke,skipped
"['Jono Cowgill', 'skipped', 'skipped']",5453,Jono Cowgill,skipped,skipped
"['skipped', 'skipped', 'skipped']",5454,skipped,skipped,skipped
"['Jono Cowgill', 'Tom Nordyke', 'skipped']",5455,Jono Cowgill,Tom Nordyke,skipped
"['skipped', 'skipped', 'skipped']",5456,skipped,skipped,skipped
"['Jono Cowgill', 'skipped', 'skipped']",5457,Jono Cowgill,skipped,skipped
"['Tom Nordyke', 'Jono Cowgill', 'skipped']",5458,Tom Nordyke,Jono Cowgill,skipped
"['Jono Cowgill', 'Jono Cowgill', 'Jono Cowgill']",5459,Jono Cowgill,Jono Cowgill,Jono Cowgill
"['Tom Nordyke', 'skipped', 'skipped']",5460,Tom Nordyke,skipped,skipped
"['skipped', 'skipped', 'skipped']",5461,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5462,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped']",5463,skipped,skipped,skipped
