ranks,ballotID,rank1,rank2,rank3
"['RAFAEL MANDELMAN', 'skipped', 'skipped']",1,RAFAEL MANDELMAN,skipped,skipped
"['RAFAEL MANDELMAN', 'JEFF SHEEHY', 'skipped']",2,RAFAEL MANDELMAN,JEFF SHEEHY,skipped
"['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]",3,JEFF SHEEHY,RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE
"['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']",4,JEFF SHEEHY,LAWRENCE ''STARK'' DAGESSE,RAFAEL MANDELMAN
"['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']",5,RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE,JEFF SHEEHY
"['JEFF SHEEHY', 'JEFF SHEEHY', 'JEFF SHEEHY']",6,JEFF SHEEHY,JEFF SHEEHY,JEFF SHEEHY
"['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]",7,JEFF SHEEHY,RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE
"['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]",8,JEFF SHEEHY,RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE
"['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]",9,RAFAEL MANDELMAN,JEFF SHEEHY,LAWRENCE ''STARK'' DAGESSE
"[""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY', 'skipped']",10,LAWRENCE ''STARK'' DAGESSE,JEFF SHEEHY,skipped
"['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']",11,JEFF SHEEHY,LAWRENCE ''STARK'' DAGESSE,RAFAEL MANDELMAN
"['RAFAEL MANDELMAN', 'RAFAEL MANDELMAN', 'RAFAEL MANDELMAN']",12,RAFAEL MANDELMAN,RAFAEL MANDELMAN,RAFAEL MANDELMAN
"['JEFF SHEEHY', 'RAFAEL MANDELMAN', 'skipped']",13,JEFF SHEEHY,RAFAEL MANDELMAN,skipped
"['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']",14,JEFF SHEEHY,LAWRENCE ''STARK'' DAGESSE,RAFAEL MANDELMAN
"['RAFAEL MANDELMAN', 'skipped', 'skipped']",15,RAFAEL MANDELMAN,skipped,skipped
"['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]",16,JEFF SHEEHY,RAFAEL MANDELMAN,LAWRENCE ''STARK'' DAGESSE
"['JEFF SHEEHY', 'RAFAEL MANDELMAN', 'skipped']",17,JEFF SHEEHY,RAFAEL MANDELMAN,skipped
