ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
4,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
5,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
7,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
10,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
11,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
12,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
13,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
14,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
15,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
16,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
18,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
19,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
20,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
21,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
22,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
23,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
24,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
26,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
28,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
29,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
30,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
31,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
34,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
35,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
36,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
42,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
52,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
56,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Harding, Jr., Richard","Kelly, Kathleen M.",Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped
