ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
33,"Kelly, Kathleen M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Harding, Jr., Richard","Fantini, Alfred B.","Dexter, Emily R.","Crutchfield, Jake W.","Cronin, Fran Albin","Kadete, Elechi M.",skipped
34,"Bowman, Manikka L.","Weinstein, David J.","Dexter, Emily R.","Harding, Jr., Richard","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
35,"Kelly, Kathleen M.","Harding, Jr., Richard","Nolan, Patricia M.","Cisternino, Pia","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
36,"Weinstein, David J.","Dexter, Emily R.","Fantini, Alfred B.","Nolan, Patricia M.","Harding, Jr., Richard","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped
37,"Cisternino, Pia","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,"Bowman, Manikka L.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,"Harding, Jr., Richard","Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped
40,"Bowman, Manikka L.","Cisternino, Pia","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
41,"Nolan, Patricia M.","Kelly, Kathleen M.","Harding, Jr., Richard","Fantini, Alfred B.","Cronin, Fran Albin","Cisternino, Pia","Bowman, Manikka L.","Crutchfield, Jake W.","Dexter, Emily R.","Weinstein, David J.","Kadete, Elechi M."
42,"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,"Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,"Weinstein, David J.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
49,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,"Crutchfield, Jake W.","Cronin, Fran Albin","Harding, Jr., Richard","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
51,"Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran Albin","Fantini, Alfred B.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
52,"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,"Cisternino, Pia","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,"Crutchfield, Jake W.","Cronin, Fran Albin","Fantini, Alfred B.","Cisternino, Pia","Bowman, Manikka L.","Dexter, Emily R.","Harding, Jr., Richard","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped
55,"Cronin, Fran Albin","Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
56,"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Dexter, Emily R.","Cisternino, Pia","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
59,"Harding, Jr., Richard","Kelly, Kathleen M.","Cronin, Fran Albin","Kadete, Elechi M.","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
60,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
61,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
63,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
64,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
65,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
67,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
68,"Nolan, Patricia M.","Cisternino, Pia","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,"Harding, Jr., Richard","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,"Fantini, Alfred B.","Kelly, Kathleen M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,"Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin","Dexter, Emily R.","Crutchfield, Jake W.","Kadete, Elechi M.","Weinstein, David J.",skipped,skipped,skipped,skipped
72,"Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Dexter, Emily R.","Bowman, Manikka L.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped
73,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
74,"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,"Kadete, Elechi M.","Cronin, Fran Albin","Harding, Jr., Richard","Bowman, Manikka L.","Cisternino, Pia","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped
76,"Harding, Jr., Richard","Fantini, Alfred B.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
77,"Cronin, Fran Albin","Fantini, Alfred B.","Harding, Jr., Richard","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
78,"Kelly, Kathleen M.","Harding, Jr., Richard","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
79,"Harding, Jr., Richard","Kadete, Elechi M.","Bowman, Manikka L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,"Fantini, Alfred B.","Dexter, Emily R.","Harding, Jr., Richard","Kadete, Elechi M.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Bowman, Manikka L.","Cisternino, Pia","Cronin, Fran Albin",skipped
81,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
82,"Kelly, Kathleen M.","Harding, Jr., Richard","Fantini, Alfred B.","Nolan, Patricia M.","Cronin, Fran Albin","Weinstein, David J.","Cisternino, Pia","Bowman, Manikka L.","Dexter, Emily R.","Crutchfield, Jake W.","Kadete, Elechi M."
83,"Harding, Jr., Richard","Kadete, Elechi M.","Cronin, Fran Albin",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
84,"Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
85,"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
86,"Cronin, Fran Albin","Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
87,"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Cisternino, Pia",skipped,skipped,skipped,skipped,skipped,skipped,skipped
