ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8
1,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
2,"Lummis, Ben","Harding, Richard, Jr.","Schuster, Luc","Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped
3,"McGovern, Marc C.","Schuster, Luc","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
4,"Schuster, Luc","Fantini, Alfred B.","Lummis, Ben","Nolan, Patricia M.","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr.",skipped
5,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,"Schuster, Luc","Walser, Nancy","Harding, Richard, Jr.","Lummis, Ben","Grassi, Joseph G.","Nolan, Patricia M.",skipped,skipped
7,"Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Grassi, Joseph G.","Lummis, Ben","Fantini, Alfred B.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
9,"Harding, Richard, Jr.","Lummis, Ben","Grassi, Joseph G.","Walser, Nancy","Schuster, Luc",skipped,skipped,skipped
10,"Nolan, Patricia M.","Lummis, Ben","Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
11,"Schuster, Luc","Nolan, Patricia M.","Harding, Richard, Jr.","Walser, Nancy",skipped,skipped,skipped,skipped
12,"Schuster, Luc","Fantini, Alfred B.","Nolan, Patricia M.","Lummis, Ben","Grassi, Joseph G.","Walser, Nancy",skipped,skipped
13,"Schuster, Luc","Lummis, Ben","Walser, Nancy","Nolan, Patricia M.","Grassi, Joseph G.","Harding, Richard, Jr.","Fantini, Alfred B.",skipped
14,"Nolan, Patricia M.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
15,"Lummis, Ben","Schuster, Luc","Harding, Richard, Jr.","Walser, Nancy","McGovern, Marc C.","Nolan, Patricia M.","Grassi, Joseph G.","Fantini, Alfred B."
16,"Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
17,"Harding, Richard, Jr.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
18,"Nolan, Patricia M.","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.","Fantini, Alfred B.","Walser, Nancy","Schuster, Luc"
19,"Nolan, Patricia M.","Schuster, Luc","Harding, Richard, Jr.","Walser, Nancy","Lummis, Ben","McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G."
20,"Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Nolan, Patricia M.","Schuster, Luc",skipped,skipped
21,"Lummis, Ben","Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
22,"Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
23,"Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
24,"Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,"Schuster, Luc","Nolan, Patricia M.","Harding, Richard, Jr.","Walser, Nancy","McGovern, Marc C.",skipped,skipped,skipped
26,"Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
27,"Schuster, Luc","Walser, Nancy","Harding, Richard, Jr.","Grassi, Joseph G.","Lummis, Ben","Nolan, Patricia M.",skipped,skipped
28,"Nolan, Patricia M.","Schuster, Luc","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
29,"Nolan, Patricia M.","Schuster, Luc","Lummis, Ben","Walser, Nancy","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","McGovern, Marc C."
30,"Harding, Richard, Jr.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
31,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
32,"Schuster, Luc","Lummis, Ben","Nolan, Patricia M.","Walser, Nancy","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped
33,"Lummis, Ben","Grassi, Joseph G.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
34,"McGovern, Marc C.","Walser, Nancy","Lummis, Ben","Schuster, Luc",skipped,skipped,skipped,skipped
35,"Walser, Nancy","Nolan, Patricia M.","Harding, Richard, Jr.","Schuster, Luc","Lummis, Ben","McGovern, Marc C.",skipped,skipped
36,"Harding, Richard, Jr.","McGovern, Marc C.","Grassi, Joseph G.","Nolan, Patricia M.","Fantini, Alfred B.","Schuster, Luc","Lummis, Ben","Walser, Nancy"
37,"McGovern, Marc C.","Schuster, Luc","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
38,"Schuster, Luc","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
39,"Nolan, Patricia M.","Lummis, Ben","Schuster, Luc","Harding, Richard, Jr.","Grassi, Joseph G.","Walser, Nancy",skipped,skipped
40,"Walser, Nancy","Schuster, Luc","Grassi, Joseph G.","Lummis, Ben",skipped,skipped,skipped,skipped
41,"Nolan, Patricia M.","Walser, Nancy","Fantini, Alfred B.","McGovern, Marc C.","Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.","Schuster, Luc"
42,"Nolan, Patricia M.","Lummis, Ben","Harding, Richard, Jr.","Grassi, Joseph G.","Schuster, Luc","Walser, Nancy","Fantini, Alfred B.",skipped
43,"Walser, Nancy","Grassi, Joseph G.","Schuster, Luc","Lummis, Ben",skipped,skipped,skipped,skipped
44,"Harding, Richard, Jr.","Lummis, Ben","Grassi, Joseph G.","McGovern, Marc C.","Fantini, Alfred B.","Walser, Nancy","Nolan, Patricia M.","Schuster, Luc"
45,"McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped
46,"Walser, Nancy","Nolan, Patricia M.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
47,"Fantini, Alfred B.","Lummis, Ben","Schuster, Luc",skipped,skipped,skipped,skipped,skipped
48,"Walser, Nancy","Nolan, Patricia M.","Harding, Richard, Jr.","Schuster, Luc",skipped,skipped,skipped,skipped
49,"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
50,"Schuster, Luc","McGovern, Marc C.","Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped
51,"Walser, Nancy","Schuster, Luc","Grassi, Joseph G.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
52,"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
53,"Schuster, Luc","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
54,"Schuster, Luc","Harding, Richard, Jr.","McGovern, Marc C.","Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped
55,"Harding, Richard, Jr.","Lummis, Ben","Walser, Nancy","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc",skipped,skipped
56,"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,"Schuster, Luc","Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Nolan, Patricia M.",skipped,skipped,skipped
59,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,"Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
61,writein,skipped,skipped,skipped,skipped,skipped,skipped,skipped
62,"Nolan, Patricia M.","Schuster, Luc","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped
63,"Schuster, Luc","Harding, Richard, Jr.","McGovern, Marc C.","Lummis, Ben","Fantini, Alfred B.","Nolan, Patricia M.","Grassi, Joseph G.","Walser, Nancy"
64,"McGovern, Marc C.","Schuster, Luc","Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped
65,"Walser, Nancy","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
66,"Schuster, Luc","Walser, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
67,"Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
68,"Lummis, Ben","Walser, Nancy","Harding, Richard, Jr.",skipped,skipped,skipped,skipped,skipped
69,"Nolan, Patricia M.","McGovern, Marc C.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped
70,"Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,"Nolan, Patricia M.","Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped
72,"Lummis, Ben","McGovern, Marc C.","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
73,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped
74,"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
75,"Schuster, Luc","Walser, Nancy","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped
76,"Schuster, Luc","Nolan, Patricia M.","Walser, Nancy","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped
77,"Harding, Richard, Jr.","Lummis, Ben","Schuster, Luc","Fantini, Alfred B.",skipped,skipped,skipped,skipped
78,"Nolan, Patricia M.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
79,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
80,"Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
81,"Lummis, Ben","McGovern, Marc C.","Walser, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped
82,"Schuster, Luc","Lummis, Ben","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
83,"Nolan, Patricia M.","Schuster, Luc","Walser, Nancy","McGovern, Marc C.","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped
84,"Nolan, Patricia M.","Schuster, Luc","Walser, Nancy","McGovern, Marc C.","Harding, Richard, Jr.","Grassi, Joseph G.",skipped,skipped
85,"Walser, Nancy","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
86,"Nolan, Patricia M.","McGovern, Marc C.","Schuster, Luc","Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped
87,"Walser, Nancy","Lummis, Ben","Nolan, Patricia M.","Harding, Richard, Jr.","McGovern, Marc C.",skipped,skipped,skipped
88,"Schuster, Luc","Nolan, Patricia M.","McGovern, Marc C.","Grassi, Joseph G.",skipped,skipped,skipped,skipped
89,"Lummis, Ben","Walser, Nancy","Nolan, Patricia M.","Harding, Richard, Jr.","Grassi, Joseph G.","McGovern, Marc C.","Fantini, Alfred B.","Schuster, Luc"
90,"Harding, Richard, Jr.","Lummis, Ben","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
91,"Walser, Nancy","McGovern, Marc C.","Lummis, Ben","Schuster, Luc","Nolan, Patricia M.",skipped,skipped,skipped
92,"Lummis, Ben","Schuster, Luc","Walser, Nancy",skipped,skipped,skipped,skipped,skipped
93,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
94,"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.","Harding, Richard, Jr.",skipped,skipped,skipped,skipped
95,"Nolan, Patricia M.","Schuster, Luc","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped
96,"Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Harding, Richard, Jr.","Walser, Nancy","Grassi, Joseph G.","Fantini, Alfred B."
97,"Harding, Richard, Jr.","Lummis, Ben",skipped,skipped,skipped,skipped,skipped,skipped
98,"Fantini, Alfred B.","Grassi, Joseph G.",skipped,skipped,skipped,skipped,skipped,skipped
99,"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Schuster, Luc",skipped,skipped,skipped,skipped
100,"Lummis, Ben","McGovern, Marc C.","Harding, Richard, Jr.","Nolan, Patricia M.",skipped,skipped,skipped,skipped
101,"Grassi, Joseph G.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
102,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
103,"Schuster, Luc",skipped,skipped,skipped,skipped,skipped,skipped,skipped
