ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19
1,"Decker, Marjorie C.","Simmons, Denise","Davis, Henrietta","Jens, Steven E.","Maher, David P.","Pitkin, John","Galluccio, Anthony D.","Sullivan, Michael A.","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,"Maher, David P.","Sullivan, Michael A.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
3,"Sullivan, Michael A.","Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
4,"Murphy, Brian","Pitkin, John","Sullivan, Michael A.","Davis, Henrietta","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
5,"Davis, Henrietta","Galluccio, Anthony D.","Simmons, Denise","Horowitz, Jacob","King, Ethridge A.","Maher, David P.","Pitkin, John",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,"Maher, David P.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
7,"Decker, Marjorie C.","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Galluccio, Anthony D.","Maher, David P.","Decker, Marjorie C.","Hall, Robert L.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,"Iskovitz, Steve","Murphy, Brian","Davis, Henrietta","Simmons, Denise","Maher, David P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
10,"Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
11,"Galluccio, Anthony D.","Decker, Marjorie C.","Maher, David P.","Murphy, Brian","Pitkin, John","Sullivan, Michael A.","Davis, Henrietta","Iskovitz, Steve","Horowitz, Jacob","Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Williamson, James M.","Jens, Steven E.","Hall, Robert L.",skipped,skipped,skipped,skipped,skipped
12,"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
