ballotID,rank1,rank2,rank3
203,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
204,MARK A. COPLAN,skipped,skipped
205,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
206,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
207,MARK A. COPLAN,DEBORAH MATTHEWS,BEN BARTLETT
208,BEN BARTLETT,MARK A. COPLAN,BEN BARTLETT
209,BEN BARTLETT,MARK A. COPLAN,BEN BARTLETT
210,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
211,BEN BARTLETT,MARK A. COPLAN,skipped
212,MARK A. COPLAN,BEN BARTLETT,DEBORAH MATTHEWS
213,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT
214,BEN BARTLETT,DEBORAH MATTHEWS,AL G. MURRAY
215,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
216,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
217,DEBORAH MATTHEWS,MARK A. COPLAN,BEN BARTLETT
218,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
219,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
220,DEBORAH MATTHEWS,BEN BARTLETT,AL G. MURRAY
221,BEN BARTLETT,skipped,skipped
222,BEN BARTLETT,skipped,skipped
223,BEN BARTLETT,skipped,skipped
224,skipped,skipped,skipped
225,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
226,DEBORAH MATTHEWS,BEN BARTLETT,MARK A. COPLAN
227,MARK A. COPLAN,BEN BARTLETT,AL G. MURRAY
228,MARK A. COPLAN,AL G. MURRAY,DEBORAH MATTHEWS
229,skipped,skipped,skipped
230,MARK A. COPLAN,DEBORAH MATTHEWS,BEN BARTLETT
231,BEN BARTLETT,DEBORAH MATTHEWS,AL G. MURRAY
232,DEBORAH MATTHEWS,AL G. MURRAY,BEN BARTLETT
233,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
234,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
235,BEN BARTLETT,DEBORAH MATTHEWS,AL G. MURRAY
236,DEBORAH MATTHEWS,skipped,skipped
237,DEBORAH MATTHEWS,skipped,skipped
238,MARK A. COPLAN,BEN BARTLETT,DEBORAH MATTHEWS
239,skipped,skipped,skipped
240,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
241,MARK A. COPLAN,AL G. MURRAY,DEBORAH MATTHEWS
242,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
243,BEN BARTLETT,skipped,skipped
244,MARK A. COPLAN,BEN BARTLETT,AL G. MURRAY
245,BEN BARTLETT,skipped,skipped
246,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
247,BEN BARTLETT,AL G. MURRAY,DEBORAH MATTHEWS
248,DEBORAH MATTHEWS,AL G. MURRAY,DEBORAH MATTHEWS
249,MARK A. COPLAN,DEBORAH MATTHEWS,BEN BARTLETT
250,BEN BARTLETT,skipped,skipped
251,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT
252,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT
253,MARK A. COPLAN,BEN BARTLETT,DEBORAH MATTHEWS
254,DEBORAH MATTHEWS,DEBORAH MATTHEWS,DEBORAH MATTHEWS
255,DEBORAH MATTHEWS,BEN BARTLETT,MARK A. COPLAN
256,MARK A. COPLAN,AL G. MURRAY,BEN BARTLETT
257,MARK A. COPLAN,BEN BARTLETT,AL G. MURRAY
258,DEBORAH MATTHEWS,BEN BARTLETT,MARK A. COPLAN
259,BEN BARTLETT,DEBORAH MATTHEWS,skipped
260,BEN BARTLETT,skipped,skipped
261,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT
262,BEN BARTLETT,DEBORAH MATTHEWS,skipped
263,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
264,DEBORAH MATTHEWS,DEBORAH MATTHEWS,DEBORAH MATTHEWS
265,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
266,DEBORAH MATTHEWS,DEBORAH MATTHEWS,DEBORAH MATTHEWS
267,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
268,BEN BARTLETT,AL G. MURRAY,MARK A. COPLAN
269,MARK A. COPLAN,DEBORAH MATTHEWS,BEN BARTLETT
270,MARK A. COPLAN,AL G. MURRAY,DEBORAH MATTHEWS
271,DEBORAH MATTHEWS,BEN BARTLETT,skipped
272,DEBORAH MATTHEWS,skipped,skipped
273,AL G. MURRAY,DEBORAH MATTHEWS,DEBORAH MATTHEWS
274,MARK A. COPLAN,MARK A. COPLAN,MARK A. COPLAN
275,BEN BARTLETT,AL G. MURRAY,skipped
276,BEN BARTLETT,skipped,skipped
277,BEN BARTLETT,skipped,skipped
278,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
279,BEN BARTLETT,MARK A. COPLAN,AL G. MURRAY
280,BEN BARTLETT,AL G. MURRAY,skipped
281,BEN BARTLETT,MARK A. COPLAN,DEBORAH MATTHEWS
