ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'skipped', 'skipped']",520,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,skipped,skipped
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",521,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['DOUG WELTON', 'DOUG WELTON', 'DOUG WELTON', 'DOUG WELTON', 'DOUG WELTON']",522,DOUG WELTON,DOUG WELTON,DOUG WELTON,DOUG WELTON,DOUG WELTON
"['DOUG WELTON', 'DOUG WELTON', 'DOUG WELTON', 'DOUG WELTON', 'DOUG WELTON']",523,DOUG WELTON,DOUG WELTON,DOUG WELTON,DOUG WELTON,DOUG WELTON
"['BRIAN V. HULET', 'LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",524,BRIAN V. HULET,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",525,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'LINDA CARTER', 'skipped', 'skipped', 'skipped']",526,DOUG WELTON,LINDA CARTER,skipped,skipped,skipped
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",527,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",528,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,LINDA CARTER,CARY KENNETH STOCKWELL
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",529,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",530,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'DOUG WELTON', 'BRIAN V. HULET']",531,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM,DOUG WELTON,BRIAN V. HULET
"['SCOTT PINKHAM', 'LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET']",532,SCOTT PINKHAM,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,BRIAN V. HULET
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",533,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['SCOTT PINKHAM', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",534,SCOTT PINKHAM,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",535,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,LINDA CARTER,CARY KENNETH STOCKWELL
"['CARY KENNETH STOCKWELL', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'CARY KENNETH STOCKWELL', 'CARY KENNETH STOCKWELL']",536,CARY KENNETH STOCKWELL,LINDA CARTER,CARY KENNETH STOCKWELL,CARY KENNETH STOCKWELL,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'LINDA CARTER', 'skipped', 'skipped', 'skipped']",537,BRIAN V. HULET,LINDA CARTER,skipped,skipped,skipped
"['DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'LINDA CARTER']",538,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,BRIAN V. HULET,LINDA CARTER
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'skipped', 'skipped']",539,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped', 'skipped']",540,skipped,skipped,skipped,skipped,skipped
"['DOUG WELTON', 'SCOTT PINKHAM', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET']",541,DOUG WELTON,SCOTT PINKHAM,LINDA CARTER,CARY KENNETH STOCKWELL,BRIAN V. HULET
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'skipped', 'skipped']",542,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,skipped,skipped
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",543,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM']",544,LINDA CARTER,CARY KENNETH STOCKWELL,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",545,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM']",546,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM
"['BRIAN V. HULET', 'SCOTT PINKHAM', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",547,BRIAN V. HULET,SCOTT PINKHAM,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER
"['LINDA CARTER', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM']",548,LINDA CARTER,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",549,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,LINDA CARTER,CARY KENNETH STOCKWELL
"['CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM']",550,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM
"['CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM']",551,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",552,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",553,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",554,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",555,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",556,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",557,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['LINDA CARTER', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM']",558,LINDA CARTER,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET']",559,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,BRIAN V. HULET
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'skipped', 'skipped']",560,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,skipped,skipped
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",561,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",562,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",563,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",564,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'SCOTT PINKHAM']",565,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,DOUG WELTON,SCOTT PINKHAM
