ranks,ballotID,rank1,rank2,rank3,rank4,rank5
"['skipped', 'skipped', 'skipped', 'skipped', 'skipped']",1,skipped,skipped,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped', 'skipped']",2,skipped,skipped,skipped,skipped,skipped
"['skipped', 'skipped', 'skipped', 'skipped', 'skipped']",3,skipped,skipped,skipped,skipped,skipped
"['CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'skipped', 'skipped', 'skipped']",4,CARY KENNETH STOCKWELL,BRIAN V. HULET,skipped,skipped,skipped
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",5,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",6,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['BRIAN V. HULET', 'SCOTT PINKHAM', 'skipped', 'skipped', 'skipped']",7,BRIAN V. HULET,SCOTT PINKHAM,skipped,skipped,skipped
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",8,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['CARY KENNETH STOCKWELL', 'LINDA CARTER', 'skipped', 'skipped', 'skipped']",9,CARY KENNETH STOCKWELL,LINDA CARTER,skipped,skipped,skipped
"['BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",10,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",11,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",12,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",13,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'skipped', 'skipped']",14,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,skipped,skipped
"['BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET']",15,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET
"['BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET']",16,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET
"['LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'BRIAN V. HULET']",17,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,BRIAN V. HULET
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",18,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'BRIAN V. HULET']",19,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,BRIAN V. HULET
"['LINDA CARTER', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM']",20,LINDA CARTER,CARY KENNETH STOCKWELL,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM
"['DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'skipped', 'skipped']",21,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,skipped,skipped
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",22,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'skipped', 'skipped']",23,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,skipped,skipped
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'skipped', 'skipped']",24,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,skipped,skipped
"['DOUG WELTON', 'skipped', 'skipped', 'skipped', 'skipped']",25,DOUG WELTON,skipped,skipped,skipped,skipped
"['DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM']",26,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'SCOTT PINKHAM']",27,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,BRIAN V. HULET,SCOTT PINKHAM
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",28,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",29,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",30,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",31,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET']",32,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER,DOUG WELTON,BRIAN V. HULET
"['LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET']",33,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,BRIAN V. HULET
"['LINDA CARTER', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM']",34,LINDA CARTER,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",35,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL']",36,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM,BRIAN V. HULET,CARY KENNETH STOCKWELL
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",37,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'skipped', 'skipped']",38,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,skipped,skipped
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",39,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'SCOTT PINKHAM']",40,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,BRIAN V. HULET,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",41,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['CARY KENNETH STOCKWELL', 'LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM', 'BRIAN V. HULET']",42,CARY KENNETH STOCKWELL,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM,BRIAN V. HULET
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",43,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",44,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,LINDA CARTER,CARY KENNETH STOCKWELL
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",45,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'skipped']",46,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM,skipped
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'skipped']",47,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM,skipped
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",48,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",49,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'SCOTT PINKHAM', 'skipped', 'skipped', 'skipped']",50,BRIAN V. HULET,SCOTT PINKHAM,skipped,skipped,skipped
"['LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'skipped', 'skipped']",51,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,skipped,skipped
"['DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'LINDA CARTER']",52,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,BRIAN V. HULET,LINDA CARTER
"['BRIAN V. HULET', 'LINDA CARTER', 'SCOTT PINKHAM', 'DOUG WELTON', 'CARY KENNETH STOCKWELL']",53,BRIAN V. HULET,LINDA CARTER,SCOTT PINKHAM,DOUG WELTON,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'skipped']",54,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM,skipped
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",55,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'LINDA CARTER']",56,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM,LINDA CARTER
"['DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'SCOTT PINKHAM']",57,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,BRIAN V. HULET,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'SCOTT PINKHAM']",58,LINDA CARTER,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,SCOTT PINKHAM
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'skipped', 'skipped']",59,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,skipped,skipped
"['CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'LINDA CARTER']",60,CARY KENNETH STOCKWELL,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,LINDA CARTER
"['LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET']",61,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,BRIAN V. HULET
"['BRIAN V. HULET', 'LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",62,BRIAN V. HULET,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER']",63,SCOTT PINKHAM,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,LINDA CARTER
"['BRIAN V. HULET', 'SCOTT PINKHAM', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",64,BRIAN V. HULET,SCOTT PINKHAM,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER
"['CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'skipped', 'skipped']",65,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,skipped,skipped
"['DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'skipped']",66,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM,skipped
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",67,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",68,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",69,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'SCOTT PINKHAM']",70,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,BRIAN V. HULET,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",71,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",72,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'skipped', 'skipped', 'skipped', 'skipped']",73,LINDA CARTER,skipped,skipped,skipped,skipped
"['SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON']",74,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER,BRIAN V. HULET,DOUG WELTON
"['SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON']",75,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER,BRIAN V. HULET,DOUG WELTON
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'skipped', 'skipped']",76,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,skipped,skipped
"['DOUG WELTON', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",77,DOUG WELTON,SCOTT PINKHAM,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'LINDA CARTER', 'CARY KENNETH STOCKWELL']",78,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,LINDA CARTER,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",79,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",80,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['SCOTT PINKHAM', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'LINDA CARTER']",81,SCOTT PINKHAM,BRIAN V. HULET,CARY KENNETH STOCKWELL,DOUG WELTON,LINDA CARTER
"['DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",82,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'LINDA CARTER', 'DOUG WELTON']",83,CARY KENNETH STOCKWELL,BRIAN V. HULET,SCOTT PINKHAM,LINDA CARTER,DOUG WELTON
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",84,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'skipped', 'skipped', 'skipped', 'skipped']",85,LINDA CARTER,skipped,skipped,skipped,skipped
"['LINDA CARTER', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'SCOTT PINKHAM']",86,LINDA CARTER,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,SCOTT PINKHAM
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",87,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",88,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'LINDA CARTER', 'skipped', 'skipped', 'skipped']",89,DOUG WELTON,LINDA CARTER,skipped,skipped,skipped
"['LINDA CARTER', 'skipped', 'skipped', 'skipped', 'skipped']",90,LINDA CARTER,skipped,skipped,skipped,skipped
"['BRIAN V. HULET', 'LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",91,BRIAN V. HULET,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'skipped', 'skipped', 'skipped', 'skipped']",92,BRIAN V. HULET,skipped,skipped,skipped,skipped
"['BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",93,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET', 'BRIAN V. HULET']",94,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET,BRIAN V. HULET
"['BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",95,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,LINDA CARTER
"['SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER']",96,SCOTT PINKHAM,CARY KENNETH STOCKWELL,DOUG WELTON,BRIAN V. HULET,LINDA CARTER
"['LINDA CARTER', 'skipped', 'skipped', 'skipped', 'skipped']",97,LINDA CARTER,skipped,skipped,skipped,skipped
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",98,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",99,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",100,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",101,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['BRIAN V. HULET', 'SCOTT PINKHAM', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER']",102,BRIAN V. HULET,SCOTT PINKHAM,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",103,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'skipped']",104,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,skipped
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'skipped', 'skipped']",105,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,skipped,skipped
"['DOUG WELTON', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'BRIAN V. HULET', 'SCOTT PINKHAM']",106,DOUG WELTON,CARY KENNETH STOCKWELL,LINDA CARTER,BRIAN V. HULET,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'SCOTT PINKHAM']",107,DOUG WELTON,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER,SCOTT PINKHAM
"['BRIAN V. HULET', 'CARY KENNETH STOCKWELL', 'LINDA CARTER', 'DOUG WELTON', 'SCOTT PINKHAM']",108,BRIAN V. HULET,CARY KENNETH STOCKWELL,LINDA CARTER,DOUG WELTON,SCOTT PINKHAM
"['DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'LINDA CARTER']",109,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL,BRIAN V. HULET,LINDA CARTER
"['DOUG WELTON', 'BRIAN V. HULET', 'skipped', 'skipped', 'skipped']",110,DOUG WELTON,BRIAN V. HULET,skipped,skipped,skipped
"['LINDA CARTER', 'SCOTT PINKHAM', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL']",111,LINDA CARTER,SCOTT PINKHAM,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL
"['BRIAN V. HULET', 'DOUG WELTON', 'LINDA CARTER', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",112,BRIAN V. HULET,DOUG WELTON,LINDA CARTER,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'BRIAN V. HULET', 'SCOTT PINKHAM']",113,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,BRIAN V. HULET,SCOTT PINKHAM
"['DOUG WELTON', 'BRIAN V. HULET', 'LINDA CARTER', 'skipped', 'skipped']",114,DOUG WELTON,BRIAN V. HULET,LINDA CARTER,skipped,skipped
"['LINDA CARTER', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM', 'BRIAN V. HULET']",115,LINDA CARTER,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM,BRIAN V. HULET
"['DOUG WELTON', 'LINDA CARTER', 'BRIAN V. HULET', 'skipped', 'skipped']",116,DOUG WELTON,LINDA CARTER,BRIAN V. HULET,skipped,skipped
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'CARY KENNETH STOCKWELL', 'SCOTT PINKHAM']",117,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,CARY KENNETH STOCKWELL,SCOTT PINKHAM
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'skipped', 'skipped']",118,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,skipped,skipped
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'skipped', 'skipped']",119,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,skipped,skipped
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'skipped', 'skipped']",120,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,skipped,skipped
"['LINDA CARTER', 'DOUG WELTON', 'BRIAN V. HULET', 'skipped', 'skipped']",121,LINDA CARTER,DOUG WELTON,BRIAN V. HULET,skipped,skipped
"['LINDA CARTER', 'BRIAN V. HULET', 'DOUG WELTON', 'SCOTT PINKHAM', 'CARY KENNETH STOCKWELL']",122,LINDA CARTER,BRIAN V. HULET,DOUG WELTON,SCOTT PINKHAM,CARY KENNETH STOCKWELL
