ranks,ballotID,rank1,rank2,rank3
"['JULIO RAMOS', 'RANDY KNOX', 'ADRIAN BERMUDEZ']",1,JULIO RAMOS,RANDY KNOX,ADRIAN BERMUDEZ
"['JOHN AVALOS', 'RANDY KNOX', 'JULIO RAMOS']",2,JOHN AVALOS,RANDY KNOX,JULIO RAMOS
"['MYRNA LIM', 'JOHN AVALOS', 'MARY GOODNATURE']",3,MYRNA LIM,JOHN AVALOS,MARY GOODNATURE
"['JULIO RAMOS', 'MYRNA LIM', 'MYRNA LIM']",4,JULIO RAMOS,MYRNA LIM,MYRNA LIM
"['MYRNA LIM', 'JULIO RAMOS', 'AHSHA SAFAI']",5,MYRNA LIM,JULIO RAMOS,AHSHA SAFAI
"['MYRNA LIM', 'JULIO RAMOS', 'AHSHA SAFAI']",6,MYRNA LIM,JULIO RAMOS,AHSHA SAFAI
"['JULIO RAMOS', 'JOHN AVALOS', 'skipped']",7,JULIO RAMOS,JOHN AVALOS,skipped
"['JULIO RAMOS', 'AHSHA SAFAI', 'RANDY KNOX']",8,JULIO RAMOS,AHSHA SAFAI,RANDY KNOX
"['MARY GOODNATURE', 'AHSHA SAFAI', 'MYRNA LIM']",9,MARY GOODNATURE,AHSHA SAFAI,MYRNA LIM
"['JOHN AVALOS', 'JULIO RAMOS', 'ELI M. HORN']",10,JOHN AVALOS,JULIO RAMOS,ELI M. HORN
"['JULIO RAMOS', 'AHSHA SAFAI', 'RANDY KNOX']",11,JULIO RAMOS,AHSHA SAFAI,RANDY KNOX
"['JOHN AVALOS', 'JULIO RAMOS', 'MYRNA LIM']",12,JOHN AVALOS,JULIO RAMOS,MYRNA LIM
"['AHSHA SAFAI', 'skipped', 'skipped']",13,AHSHA SAFAI,skipped,skipped
"['AHSHA SAFAI', 'skipped', 'skipped']",14,AHSHA SAFAI,skipped,skipped
"['MYRNA LIM', 'JULIO RAMOS', 'AHSHA SAFAI']",15,MYRNA LIM,JULIO RAMOS,AHSHA SAFAI
"['AHSHA SAFAI', 'JOHN AVALOS', 'skipped']",16,AHSHA SAFAI,JOHN AVALOS,skipped
"['AHSHA SAFAI', 'MYRNA LIM', 'MARY GOODNATURE']",17,AHSHA SAFAI,MYRNA LIM,MARY GOODNATURE
"['AHSHA SAFAI', 'MYRNA LIM', 'RANDY KNOX']",18,AHSHA SAFAI,MYRNA LIM,RANDY KNOX
"['AHSHA SAFAI', 'JULIO RAMOS', 'MYRNA LIM']",19,AHSHA SAFAI,JULIO RAMOS,MYRNA LIM
"['JULIO RAMOS', 'AHSHA SAFAI', 'AHSHA SAFAI']",20,JULIO RAMOS,AHSHA SAFAI,AHSHA SAFAI
"['JOHN AVALOS', 'JULIO RAMOS', 'ELI M. HORN']",21,JOHN AVALOS,JULIO RAMOS,ELI M. HORN
"['JULIO RAMOS', 'AHSHA SAFAI', 'JOHN AVALOS']",22,JULIO RAMOS,AHSHA SAFAI,JOHN AVALOS
"['AHSHA SAFAI', 'JOHN AVALOS', 'JULIO RAMOS']",23,AHSHA SAFAI,JOHN AVALOS,JULIO RAMOS
"['JULIO RAMOS', 'MYRNA LIM', 'ADRIAN BERMUDEZ']",24,JULIO RAMOS,MYRNA LIM,ADRIAN BERMUDEZ
"['JOHN AVALOS', 'RANDY KNOX', 'JULIO RAMOS']",25,JOHN AVALOS,RANDY KNOX,JULIO RAMOS
"['MYRNA LIM', 'RANDY KNOX', 'JOHN AVALOS']",26,MYRNA LIM,RANDY KNOX,JOHN AVALOS
"['MYRNA LIM', 'MYRNA LIM', 'MYRNA LIM']",27,MYRNA LIM,MYRNA LIM,MYRNA LIM
"['JULIO RAMOS', 'RANDY KNOX', 'ELI M. HORN']",28,JULIO RAMOS,RANDY KNOX,ELI M. HORN
"['RANDY KNOX', 'MARY GOODNATURE', 'ELI M. HORN']",29,RANDY KNOX,MARY GOODNATURE,ELI M. HORN
"['RANDY KNOX', 'MARY GOODNATURE', 'ELI M. HORN']",30,RANDY KNOX,MARY GOODNATURE,ELI M. HORN
"['MYRNA LIM', 'skipped', 'skipped']",31,MYRNA LIM,skipped,skipped
"['MYRNA LIM', 'JOHN AVALOS', 'JULIO RAMOS']",32,MYRNA LIM,JOHN AVALOS,JULIO RAMOS
"['RANDY KNOX', 'ADRIAN BERMUDEZ', 'JULIO RAMOS']",33,RANDY KNOX,ADRIAN BERMUDEZ,JULIO RAMOS
"['MYRNA LIM', 'MARY GOODNATURE', 'RANDY KNOX']",34,MYRNA LIM,MARY GOODNATURE,RANDY KNOX
"['MYRNA LIM', 'ELI M. HORN', 'JULIO RAMOS']",35,MYRNA LIM,ELI M. HORN,JULIO RAMOS
"['ADRIAN BERMUDEZ', 'JOHN AVALOS', 'JULIO RAMOS']",36,ADRIAN BERMUDEZ,JOHN AVALOS,JULIO RAMOS
"['RANDY KNOX', 'AHSHA SAFAI', 'MYRNA LIM']",37,RANDY KNOX,AHSHA SAFAI,MYRNA LIM
"['MYRNA LIM', 'MYRNA LIM', 'MYRNA LIM']",38,MYRNA LIM,MYRNA LIM,MYRNA LIM
"['MYRNA LIM', 'MYRNA LIM', 'MYRNA LIM']",39,MYRNA LIM,MYRNA LIM,MYRNA LIM
"['AHSHA SAFAI', 'RANDY KNOX', 'MYRNA LIM']",40,AHSHA SAFAI,RANDY KNOX,MYRNA LIM
"['AHSHA SAFAI', 'JOHN AVALOS', 'RANDY KNOX']",41,AHSHA SAFAI,JOHN AVALOS,RANDY KNOX
"['AHSHA SAFAI', 'JOHN AVALOS', 'MYRNA LIM']",42,AHSHA SAFAI,JOHN AVALOS,MYRNA LIM
"['JOHN AVALOS', 'JULIO RAMOS', 'AHSHA SAFAI']",43,JOHN AVALOS,JULIO RAMOS,AHSHA SAFAI
"['JULIO RAMOS', 'ADRIAN BERMUDEZ', 'AHSHA SAFAI']",44,JULIO RAMOS,ADRIAN BERMUDEZ,AHSHA SAFAI
"['RANDY KNOX', 'MARY GOODNATURE', 'JULIO RAMOS']",45,RANDY KNOX,MARY GOODNATURE,JULIO RAMOS
"['AHSHA SAFAI', 'JULIO RAMOS', 'MARY GOODNATURE']",46,AHSHA SAFAI,JULIO RAMOS,MARY GOODNATURE
