ballotID,rank1,rank2,rank3,rank4
3058,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3059,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
3060,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3061,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3062,Harvey Curley,Sarah A. Lucido,skipped,skipped
3063,Harvey Curley,Sarah A. Lucido,writein,writein
3064,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Harvey Curley
3065,Mary Hall-Rayford,skipped,skipped,skipped
3066,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3067,Harvey Curley,Sarah A. Lucido,skipped,skipped
3068,Harvey Curley,Sarah A. Lucido,skipped,skipped
3069,Mary Hall-Rayford,Larry Edwards,skipped,skipped
3070,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3071,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3072,Sarah A. Lucido,skipped,skipped,skipped
3073,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
3074,Sarah A. Lucido,writein,writein,writein
3075,Harvey Curley,Sarah A. Lucido,skipped,skipped
3076,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3077,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3078,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3079,skipped,skipped,skipped,skipped
3080,Sarah A. Lucido,skipped,skipped,skipped
3081,Sarah A. Lucido,Harvey Curley,skipped,skipped
3082,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3083,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3084,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3085,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3086,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3087,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
3088,Sarah A. Lucido,skipped,skipped,skipped
3089,skipped,skipped,skipped,skipped
3090,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3091,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,skipped
3092,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3093,Larry Edwards,Sarah A. Lucido,skipped,skipped
3094,Harvey Curley,Sarah A. Lucido,skipped,skipped
3095,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
3096,Mary Hall-Rayford,Harvey Curley,skipped,skipped
3097,Harvey Curley,Sarah A. Lucido,skipped,skipped
3098,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3099,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3100,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3101,Harvey Curley,skipped,skipped,skipped
3102,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3103,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3104,Sarah A. Lucido,Larry Edwards,skipped,skipped
3105,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3106,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3107,Harvey Curley,Sarah A. Lucido,skipped,skipped
3108,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
3109,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
3110,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3111,Sarah A. Lucido,Harvey Curley,skipped,skipped
3112,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
3113,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
3114,Harvey Curley,Sarah A. Lucido,skipped,skipped
3115,Harvey Curley,skipped,skipped,skipped
3116,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3117,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
3118,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
3119,Larry Edwards,overvote,overvote,overvote
3120,Harvey Curley,Sarah A. Lucido,Harvey Curley,Larry Edwards
3121,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
3122,Sarah A. Lucido,Harvey Curley,skipped,skipped
3123,Larry Edwards,Harvey Curley,writein,Sarah A. Lucido
3124,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
3125,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,skipped
3126,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
3127,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
3128,Harvey Curley,Sarah A. Lucido,skipped,skipped
3129,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
3130,Harvey Curley,skipped,skipped,skipped
3131,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3132,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
3133,Harvey Curley,skipped,skipped,skipped
3134,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3135,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
3136,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3137,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
3138,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
3139,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
3140,Harvey Curley,Sarah A. Lucido,skipped,skipped
3141,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
3142,Mary Hall-Rayford,writein,writein,Harvey Curley
3143,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped
3144,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
3145,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
3146,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped
