ballotID,rank1,rank2,rank3,rank4
1,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
2,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
3,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
4,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
5,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
6,Mary Hall-Rayford,Harvey Curley,skipped,skipped
7,Larry Edwards,Harvey Curley,Sarah A. Lucido,skipped
8,overvote,skipped,skipped,skipped
9,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
10,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Mary Hall-Rayford
11,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
12,Mary Hall-Rayford,Larry Edwards,Harvey Curley,skipped
13,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
14,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
15,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
16,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
17,skipped,skipped,skipped,skipped
18,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,writein
19,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
20,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
21,Mary Hall-Rayford,skipped,skipped,skipped
22,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
23,Mary Hall-Rayford,skipped,skipped,skipped
24,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
25,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
26,Larry Edwards,skipped,skipped,skipped
27,Sarah A. Lucido,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
28,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
29,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
30,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
31,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
32,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
33,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
34,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
35,Larry Edwards,skipped,skipped,skipped
36,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
37,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
38,skipped,skipped,skipped,skipped
39,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
40,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
41,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
42,Mary Hall-Rayford,skipped,skipped,skipped
43,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
44,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
45,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
46,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
47,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
48,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
49,Sarah A. Lucido,skipped,skipped,skipped
50,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
51,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
52,Larry Edwards,skipped,skipped,skipped
53,Harvey Curley,Sarah A. Lucido,skipped,skipped
54,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
55,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
56,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
57,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
58,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
59,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
60,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
61,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
62,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
63,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,writein
64,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
65,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
66,Mary Hall-Rayford,skipped,skipped,skipped
67,Larry Edwards,Harvey Curley,skipped,skipped
68,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
69,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
70,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
71,Sarah A. Lucido,Harvey Curley,Sarah A. Lucido,Sarah A. Lucido
72,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
73,Mary Hall-Rayford,skipped,skipped,skipped
74,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
75,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
76,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
77,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
78,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,skipped
79,Mary Hall-Rayford,Harvey Curley,skipped,skipped
80,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
81,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
82,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
83,Larry Edwards,Larry Edwards,skipped,skipped
84,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
85,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
86,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
87,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
88,Harvey Curley,skipped,skipped,skipped
89,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
90,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
91,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
92,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
93,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped
94,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,writein
95,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
96,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
97,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
98,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
99,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
100,Harvey Curley,Sarah A. Lucido,skipped,skipped
101,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
102,Sarah A. Lucido,Sarah A. Lucido,Mary Hall-Rayford,Mary Hall-Rayford
103,Larry Edwards,skipped,skipped,skipped
104,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
105,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
106,Harvey Curley,Sarah A. Lucido,Larry Edwards,overvote
107,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
108,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
109,Mary Hall-Rayford,skipped,skipped,skipped
110,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
111,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
112,Mary Hall-Rayford,skipped,skipped,skipped
113,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
114,Sarah A. Lucido,Sarah A. Lucido,skipped,skipped
115,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,skipped
116,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
117,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
118,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
119,Sarah A. Lucido,skipped,skipped,skipped
120,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
121,Larry Edwards,Mary Hall-Rayford,skipped,skipped
122,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
123,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
124,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
125,Larry Edwards,Harvey Curley,skipped,skipped
126,Mary Hall-Rayford,Larry Edwards,Harvey Curley,writein
127,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
128,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
129,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
130,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
131,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
132,skipped,skipped,skipped,skipped
133,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
134,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
135,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
136,Harvey Curley,Sarah A. Lucido,skipped,skipped
137,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
138,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
139,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
140,Mary Hall-Rayford,Mary Hall-Rayford,skipped,skipped
141,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
142,Larry Edwards,Mary Hall-Rayford,Harvey Curley,skipped
143,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
144,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
145,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
146,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
147,Sarah A. Lucido,Mary Hall-Rayford,writein,writein
148,Sarah A. Lucido,Larry Edwards,skipped,skipped
149,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
150,Larry Edwards,skipped,skipped,skipped
151,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
152,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
153,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
154,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
155,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
156,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
157,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
158,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Mary Hall-Rayford
159,Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
160,Mary Hall-Rayford,skipped,Mary Hall-Rayford,Mary Hall-Rayford
161,skipped,skipped,skipped,skipped
162,Sarah A. Lucido,skipped,skipped,skipped
163,Mary Hall-Rayford,Sarah A. Lucido,writein,Larry Edwards
164,Harvey Curley,skipped,skipped,skipped
165,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
166,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
167,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
168,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
169,Harvey Curley,Sarah A. Lucido,skipped,skipped
170,Mary Hall-Rayford,skipped,skipped,skipped
171,Mary Hall-Rayford,Larry Edwards,skipped,skipped
172,Mary Hall-Rayford,Larry Edwards,skipped,skipped
173,Larry Edwards,skipped,skipped,skipped
174,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
175,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
176,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
177,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
178,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
179,skipped,skipped,skipped,skipped
180,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
181,Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
182,Larry Edwards,skipped,skipped,skipped
183,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
184,Harvey Curley,skipped,skipped,skipped
185,skipped,skipped,skipped,skipped
186,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
187,Larry Edwards,skipped,skipped,skipped
188,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
189,Harvey Curley,skipped,skipped,skipped
190,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
191,Harvey Curley,Harvey Curley,Larry Edwards,Sarah A. Lucido
192,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
193,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
194,Sarah A. Lucido,skipped,skipped,skipped
195,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
196,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
197,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
198,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
199,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
200,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
201,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
202,Harvey Curley,skipped,skipped,skipped
203,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
204,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
205,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
206,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
207,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
208,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
209,Sarah A. Lucido,Harvey Curley,skipped,skipped
210,Mary Hall-Rayford,Larry Edwards,skipped,skipped
211,skipped,skipped,skipped,skipped
212,Sarah A. Lucido,Larry Edwards,skipped,skipped
213,Mary Hall-Rayford,Larry Edwards,skipped,skipped
214,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
215,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
216,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
217,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
218,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
219,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
220,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
221,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
222,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
223,Harvey Curley,skipped,skipped,skipped
224,Mary Hall-Rayford,Harvey Curley,skipped,skipped
225,Mary Hall-Rayford,skipped,skipped,skipped
226,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
227,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
228,Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
229,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
230,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
231,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
232,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
233,Harvey Curley,skipped,skipped,skipped
234,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
235,Larry Edwards,skipped,skipped,skipped
236,Sarah A. Lucido,Harvey Curley,skipped,skipped
237,Mary Hall-Rayford,skipped,skipped,skipped
238,Mary Hall-Rayford,skipped,skipped,skipped
239,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
240,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
241,Sarah A. Lucido,Harvey Curley,skipped,skipped
242,Mary Hall-Rayford,Harvey Curley,skipped,skipped
243,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
244,Larry Edwards,skipped,skipped,skipped
245,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
246,Sarah A. Lucido,Larry Edwards,Harvey Curley,Larry Edwards
247,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
248,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
249,Sarah A. Lucido,Larry Edwards,skipped,skipped
250,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
251,Mary Hall-Rayford,Sarah A. Lucido,Mary Hall-Rayford,Sarah A. Lucido
252,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
253,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
254,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
255,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
256,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
257,Mary Hall-Rayford,skipped,skipped,skipped
258,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
259,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
260,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
261,Sarah A. Lucido,Harvey Curley,Larry Edwards,skipped
262,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
263,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
264,Harvey Curley,skipped,skipped,skipped
265,Sarah A. Lucido,skipped,skipped,skipped
266,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
267,Harvey Curley,Sarah A. Lucido,skipped,skipped
268,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,skipped
269,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
270,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
271,Sarah A. Lucido,Mary Hall-Rayford,writein,writein
272,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
273,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Sarah A. Lucido
274,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
275,Harvey Curley,Sarah A. Lucido,skipped,skipped
276,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
277,Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
278,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,skipped
279,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
280,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
281,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
282,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
283,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
284,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
285,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
286,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
287,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
288,Mary Hall-Rayford,skipped,skipped,skipped
289,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
290,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
291,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
292,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
293,Mary Hall-Rayford,Larry Edwards,skipped,skipped
294,Sarah A. Lucido,skipped,skipped,skipped
295,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
296,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
297,Mary Hall-Rayford,skipped,skipped,skipped
298,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
299,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
300,Mary Hall-Rayford,skipped,skipped,skipped
301,Sarah A. Lucido,skipped,skipped,Mary Hall-Rayford
302,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
303,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
304,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
305,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
306,Sarah A. Lucido,skipped,skipped,skipped
307,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
308,skipped,skipped,skipped,skipped
309,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
310,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
311,Sarah A. Lucido,Harvey Curley,skipped,skipped
312,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
313,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
314,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
315,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
316,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
317,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
318,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
319,Larry Edwards,Harvey Curley,skipped,skipped
320,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
321,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
322,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
323,Harvey Curley,Mary Hall-Rayford,skipped,skipped
324,Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
325,skipped,skipped,skipped,skipped
326,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
327,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
328,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
329,Sarah A. Lucido,Larry Edwards,skipped,skipped
330,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
331,Harvey Curley,Sarah A. Lucido,skipped,skipped
332,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
333,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
334,Harvey Curley,Sarah A. Lucido,Larry Edwards,skipped
335,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
336,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
337,Harvey Curley,Harvey Curley,skipped,skipped
338,Larry Edwards,skipped,skipped,skipped
339,Larry Edwards,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
340,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
341,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
342,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
343,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
344,Sarah A. Lucido,Harvey Curley,writein,writein
345,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Larry Edwards
346,Mary Hall-Rayford,Larry Edwards,skipped,skipped
347,Larry Edwards,Larry Edwards,Larry Edwards,Larry Edwards
348,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
349,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
350,Larry Edwards,Harvey Curley,Sarah A. Lucido,Larry Edwards
351,Harvey Curley,Sarah A. Lucido,skipped,skipped
352,Larry Edwards,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido
353,Larry Edwards,Mary Hall-Rayford,skipped,skipped
354,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
355,Larry Edwards,skipped,skipped,skipped
356,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
357,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,skipped
358,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
359,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
360,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
361,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
362,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
363,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
364,Sarah A. Lucido,Larry Edwards,Harvey Curley,skipped
365,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
366,Sarah A. Lucido,Larry Edwards,skipped,skipped
367,Larry Edwards,skipped,skipped,skipped
368,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
369,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
370,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
371,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
372,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
373,Larry Edwards,Mary Hall-Rayford,skipped,skipped
374,Larry Edwards,skipped,skipped,skipped
375,Sarah A. Lucido,Harvey Curley,Larry Edwards,Mary Hall-Rayford
376,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
377,Harvey Curley,Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford
378,Larry Edwards,Sarah A. Lucido,skipped,skipped
379,Harvey Curley,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido
380,Sarah A. Lucido,Larry Edwards,Harvey Curley,Mary Hall-Rayford
381,Larry Edwards,writein,Sarah A. Lucido,Mary Hall-Rayford
382,Harvey Curley,Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards
383,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
