ranks,ballotID,rank1,rank2,rank3
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3426,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3427,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3428,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['skipped', 'skipped', 'skipped']",3429,skipped,skipped,skipped
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3430,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3431,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['MARCIE HODGE', 'MARCIE HODGE', 'MARCIE HODGE']",3432,MARCIE HODGE,MARCIE HODGE,MARCIE HODGE
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3433,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['NEHANDA IMARA', 'MARCIE HODGE', 'skipped']",3434,NEHANDA IMARA,MARCIE HODGE,skipped
"['LARRY E. REID', 'skipped', 'skipped']",3435,LARRY E. REID,skipped,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3436,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3437,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3438,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3439,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'LARRY E. REID', 'LARRY E. REID']",3440,LARRY E. REID,LARRY E. REID,LARRY E. REID
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3441,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3442,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3443,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'NEHANDA IMARA', 'MARCIE HODGE']",3444,LARRY E. REID,NEHANDA IMARA,MARCIE HODGE
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3445,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
