ranks,ballotID,rank1,rank2,rank3
"['LEE THOMAS', 'VICTOR AGUILAR', 'LEE THOMAS']",6851,LEE THOMAS,VICTOR AGUILAR,LEE THOMAS
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6852,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['ALLEN SCHOENFELD', 'ALLEN SCHOENFELD', 'ALLEN SCHOENFELD']",6853,ALLEN SCHOENFELD,ALLEN SCHOENFELD,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",6854,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['LEE THOMAS', 'skipped', 'skipped']",6855,LEE THOMAS,skipped,skipped
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6856,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['ALLEN SCHOENFELD', 'VICTOR AGUILAR', 'skipped']",6857,ALLEN SCHOENFELD,VICTOR AGUILAR,skipped
"['ALLEN SCHOENFELD', 'ALLEN SCHOENFELD', 'ALLEN SCHOENFELD']",6858,ALLEN SCHOENFELD,ALLEN SCHOENFELD,ALLEN SCHOENFELD
"['VICTOR AGUILAR', 'VICTOR AGUILAR', 'VICTOR AGUILAR']",6859,VICTOR AGUILAR,VICTOR AGUILAR,VICTOR AGUILAR
"['VICTOR AGUILAR', 'LEE THOMAS', 'skipped']",6860,VICTOR AGUILAR,LEE THOMAS,skipped
"['VICTOR AGUILAR', 'ALLEN SCHOENFELD', 'LEE THOMAS']",6861,VICTOR AGUILAR,ALLEN SCHOENFELD,LEE THOMAS
"['LEE THOMAS', 'VICTOR AGUILAR', 'ALLEN SCHOENFELD']",6862,LEE THOMAS,VICTOR AGUILAR,ALLEN SCHOENFELD
"['LEE THOMAS', 'skipped', 'skipped']",6863,LEE THOMAS,skipped,skipped
"['ALLEN SCHOENFELD', 'LEE THOMAS', 'VICTOR AGUILAR']",6864,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
"['VICTOR AGUILAR', 'LEE THOMAS', 'ALLEN SCHOENFELD']",6865,VICTOR AGUILAR,LEE THOMAS,ALLEN SCHOENFELD
