ballotID,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
1,"Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Ward, Larry W.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
2,"Decker, Marjorie C.","Davis, Henrietta","Ward, Larry W.","Cheung, Leland","Simmons, E. Denise","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
3,"Decker, Marjorie C.","Reeves, Kenneth E.","Davis, Henrietta","vanBeuzekom, Minka Y.","Glick, Silvia P.","Seidel, Sam","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
4,"Decker, Marjorie C.","Davis, Henrietta","Reeves, Kenneth E.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
5,"Decker, Marjorie C.","vanBeuzekom, Minka Y.","Davis, Henrietta","Seidel, Sam","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
6,"Decker, Marjorie C.","Kelley, Craig A.","Simmons, E. Denise","Cheung, Leland","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
7,"Decker, Marjorie C.","vanBeuzekom, Minka Y.","Davis, Henrietta","Seidel, Sam","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
8,"Decker, Marjorie C.","Maher, David P.","Davis, Henrietta","Simmons, E. Denise","Reeves, Kenneth E.","Seidel, Sam","Ward, Larry W.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
9,"Decker, Marjorie C.","Kelley, Craig A.","Simmons, E. Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
10,"Decker, Marjorie C.","Kelley, Craig A.","Simmons, E. Denise","Seidel, Sam","Ward, Larry W.","Maher, David P.","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
11,"Decker, Marjorie C.","Podgers, Kathy","Cheung, Leland","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
12,"Decker, Marjorie C.","Marquardt, Charles J.","Maher, David P.","Leavitt, Neal W.","Sullivan, Edward J.","Seidel, Sam","Simmons, E. Denise","Kelley, Craig A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
13,"Decker, Marjorie C.","Maher, David P.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
14,"Decker, Marjorie C.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
