ranks,ballotID,rank1,rank2,rank3
"['writein', 'skipped', 'skipped']",1,writein,skipped,skipped
"['writein', 'Lisa Goodman', 'skipped']",2,writein,Lisa Goodman,skipped
"['writein', 'Lisa Goodman', 'skipped']",3,writein,Lisa Goodman,skipped
"['writein', 'writein', 'writein']",4,writein,writein,writein
"['writein', 'writein', 'skipped']",5,writein,writein,skipped
"['writein', 'skipped', 'skipped']",6,writein,skipped,skipped
"['writein', 'skipped', 'skipped']",7,writein,skipped,skipped
"['writein', 'writein', 'writein']",8,writein,writein,writein
"['Lisa Goodman', 'writein', 'writein']",9,Lisa Goodman,writein,writein
"['Lisa Goodman', 'writein', 'skipped']",10,Lisa Goodman,writein,skipped
"['Lisa Goodman', 'writein', 'writein']",11,Lisa Goodman,writein,writein
"['Lisa Goodman', 'writein', 'skipped']",12,Lisa Goodman,writein,skipped
"['Lisa Goodman', 'Michael J. Katch', 'writein']",13,Lisa Goodman,Michael J. Katch,writein
"['Lisa Goodman', 'Michael J. Katch', 'writein']",14,Lisa Goodman,Michael J. Katch,writein
"['Lisa Goodman', 'Michael J. Katch', 'writein']",15,Lisa Goodman,Michael J. Katch,writein
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",16,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",17,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",18,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",19,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",20,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",21,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",22,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",23,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",24,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",25,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",26,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",27,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",28,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",29,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",30,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",31,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",32,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",33,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",34,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",35,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",36,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",37,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",38,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",39,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",40,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",41,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",42,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",43,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",44,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",45,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",46,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",47,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",48,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
"['Lisa Goodman', 'Michael J. Katch', 'Jeffrey Alan Wagner']",49,Lisa Goodman,Michael J. Katch,Jeffrey Alan Wagner
