ranks,ballotID,rank1,rank2,rank3
"['ROSS MIRKARIMI', 'ROSS MIRKARIMI', 'ROSS MIRKARIMI']",1,ROSS MIRKARIMI,ROSS MIRKARIMI,ROSS MIRKARIMI
"[""OWEN P. O''DONNELL"", 'ROB ANDERSON', 'ROSS MIRKARIMI']",2,OWEN P. O''DONNELL,ROB ANDERSON,ROSS MIRKARIMI
"[""OWEN P. O''DONNELL"", 'skipped', 'skipped']",3,OWEN P. O''DONNELL,skipped,skipped
"['ROSS MIRKARIMI', 'skipped', 'skipped']",4,ROSS MIRKARIMI,skipped,skipped
"[""OWEN P. O''DONNELL"", ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",5,OWEN P. O''DONNELL,OWEN P. O''DONNELL,ROB ANDERSON
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",6,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",7,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",8,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",9,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"['ROSS MIRKARIMI', 'ROB ANDERSON', ""OWEN P. O''DONNELL""]",10,ROSS MIRKARIMI,ROB ANDERSON,OWEN P. O''DONNELL
"['ROSS MIRKARIMI', 'skipped', 'skipped']",11,ROSS MIRKARIMI,skipped,skipped
"[""OWEN P. O''DONNELL"", 'skipped', 'skipped']",12,OWEN P. O''DONNELL,skipped,skipped
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",13,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"['ROB ANDERSON', 'ROSS MIRKARIMI', ""OWEN P. O''DONNELL""]",14,ROB ANDERSON,ROSS MIRKARIMI,OWEN P. O''DONNELL
"['ROSS MIRKARIMI', 'ROSS MIRKARIMI', 'ROSS MIRKARIMI']",15,ROSS MIRKARIMI,ROSS MIRKARIMI,ROSS MIRKARIMI
"['ROSS MIRKARIMI', 'skipped', 'skipped']",16,ROSS MIRKARIMI,skipped,skipped
"['ROB ANDERSON', 'ROB ANDERSON', 'ROB ANDERSON']",17,ROB ANDERSON,ROB ANDERSON,ROB ANDERSON
"[""OWEN P. O''DONNELL"", 'ROB ANDERSON', 'ROSS MIRKARIMI']",18,OWEN P. O''DONNELL,ROB ANDERSON,ROSS MIRKARIMI
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",19,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"['ROB ANDERSON', 'skipped', 'skipped']",20,ROB ANDERSON,skipped,skipped
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",21,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", ""OWEN P. O''DONNELL""]",22,ROSS MIRKARIMI,OWEN P. O''DONNELL,OWEN P. O''DONNELL
"[""OWEN P. O''DONNELL"", 'ROSS MIRKARIMI', 'ROB ANDERSON']",23,OWEN P. O''DONNELL,ROSS MIRKARIMI,ROB ANDERSON
"['ROSS MIRKARIMI', 'ROSS MIRKARIMI', 'ROSS MIRKARIMI']",24,ROSS MIRKARIMI,ROSS MIRKARIMI,ROSS MIRKARIMI
"['ROSS MIRKARIMI', 'skipped', 'skipped']",25,ROSS MIRKARIMI,skipped,skipped
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROSS MIRKARIMI']",26,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROSS MIRKARIMI
"['ROSS MIRKARIMI', 'skipped', 'skipped']",27,ROSS MIRKARIMI,skipped,skipped
"['ROSS MIRKARIMI', ""OWEN P. O''DONNELL"", 'ROB ANDERSON']",28,ROSS MIRKARIMI,OWEN P. O''DONNELL,ROB ANDERSON
"[""OWEN P. O''DONNELL"", ""OWEN P. O''DONNELL"", ""OWEN P. O''DONNELL""]",29,OWEN P. O''DONNELL,OWEN P. O''DONNELL,OWEN P. O''DONNELL
"['ROSS MIRKARIMI', 'skipped', 'skipped']",30,ROSS MIRKARIMI,skipped,skipped
"['ROSS MIRKARIMI', 'skipped', 'skipped']",31,ROSS MIRKARIMI,skipped,skipped
"['ROSS MIRKARIMI', 'ROB ANDERSON', ""OWEN P. O''DONNELL""]",32,ROSS MIRKARIMI,ROB ANDERSON,OWEN P. O''DONNELL
"['ROSS MIRKARIMI', 'ROB ANDERSON', ""OWEN P. O''DONNELL""]",33,ROSS MIRKARIMI,ROB ANDERSON,OWEN P. O''DONNELL
