ranks,ballotID,rank1,rank2,rank3
"['Bob Fine', 'Jennifer Zielinski', 'Robert M Schlosser ""Bob""']",1,Bob Fine,Jennifer Zielinski,"Robert M Schlosser ""Bob"""
"['skipped', 'skipped', 'skipped']",2,skipped,skipped,skipped
"['Brad Bourn', 'skipped', 'skipped']",3,Brad Bourn,skipped,skipped
"['skipped', 'skipped', 'skipped']",4,skipped,skipped,skipped
"['Brad Bourn', 'skipped', 'skipped']",5,Brad Bourn,skipped,skipped
"['Brad Bourn', 'Bob Fine', 'skipped']",6,Brad Bourn,Bob Fine,skipped
"['Brad Bourn', 'skipped', 'skipped']",7,Brad Bourn,skipped,skipped
"['Brad Bourn', 'skipped', 'skipped']",8,Brad Bourn,skipped,skipped
"['Bob Fine', 'Jennifer Zielinski', 'Brad Bourn']",9,Bob Fine,Jennifer Zielinski,Brad Bourn
"['Brad Bourn', 'Bob Fine', 'Jennifer Zielinski']",10,Brad Bourn,Bob Fine,Jennifer Zielinski
"['skipped', 'skipped', 'skipped']",11,skipped,skipped,skipped
"['Brad Bourn', 'Bob Fine', 'Robert M Schlosser ""Bob""']",12,Brad Bourn,Bob Fine,"Robert M Schlosser ""Bob"""
"['Bob Fine', 'skipped', 'skipped']",13,Bob Fine,skipped,skipped
"['Jennifer Zielinski', 'Bob Fine', 'Robert M Schlosser ""Bob""']",14,Jennifer Zielinski,Bob Fine,"Robert M Schlosser ""Bob"""
"['Jennifer Zielinski', 'Bob Fine', 'skipped']",15,Jennifer Zielinski,Bob Fine,skipped
"['skipped', 'skipped', 'skipped']",16,skipped,skipped,skipped
"['Bob Fine', 'Robert M Schlosser ""Bob""', 'Jennifer Zielinski']",17,Bob Fine,"Robert M Schlosser ""Bob""",Jennifer Zielinski
"['Brad Bourn', 'skipped', 'skipped']",18,Brad Bourn,skipped,skipped
"['Bob Fine', 'skipped', 'skipped']",19,Bob Fine,skipped,skipped
"['Bob Fine', 'skipped', 'skipped']",20,Bob Fine,skipped,skipped
"['Jennifer Zielinski', 'skipped', 'skipped']",21,Jennifer Zielinski,skipped,skipped
"['Bob Fine', 'Brad Bourn', 'Jennifer Zielinski']",22,Bob Fine,Brad Bourn,Jennifer Zielinski
"['Brad Bourn', 'skipped', 'skipped']",23,Brad Bourn,skipped,skipped
"['Brad Bourn', 'writein', 'writein']",24,Brad Bourn,writein,writein
"['skipped', 'skipped', 'skipped']",25,skipped,skipped,skipped
"['Bob Fine', 'Brad Bourn', 'skipped']",26,Bob Fine,Brad Bourn,skipped
"['Brad Bourn', 'Jennifer Zielinski', 'skipped']",27,Brad Bourn,Jennifer Zielinski,skipped
"['Bob Fine', 'Brad Bourn', 'Jennifer Zielinski']",28,Bob Fine,Brad Bourn,Jennifer Zielinski
"['Brad Bourn', 'skipped', 'skipped']",29,Brad Bourn,skipped,skipped
"['Bob Fine', 'skipped', 'skipped']",30,Bob Fine,skipped,skipped
"['Robert M Schlosser ""Bob""', 'Bob Fine', 'Brad Bourn']",31,"Robert M Schlosser ""Bob""",Bob Fine,Brad Bourn
"['Robert M Schlosser ""Bob""', 'Brad Bourn', 'Jennifer Zielinski']",32,"Robert M Schlosser ""Bob""",Brad Bourn,Jennifer Zielinski
