Ballots with first choice:,Number of Ballots (excluding undervotes and ballots with first round overvote),Mean Valid Rankings Used (excluding duplicates),Median Valid Rankings Used (excluding duplicates)
Any candidate,33623,2.9594920143949084,3
DANIEL LANDRY,1796,3.393095768374165,4.0
DEAN PRESTON,17372,2.982961086806355,3.0
NOMVULA O'MEARA,839,3.569725864123957,4
VALLIE BROWN,13596,2.8346572521329803,3.0
writeIns,20,2.9,4.0
