condorcet winner: AARON PESKIN,AARON PESKIN,DANNY SAUTER,SPENCER SIMONSEN,STEPHEN (LULU) SCHWARTZ,writeIns
AARON PESKIN,,13329.00,16415.00,17383.00,20610.00
DANNY SAUTER,9644.00,,15465.00,16063.00,18554.00
SPENCER SIMONSEN,5231.00,3503.00,,10461.00,14983.00
STEPHEN (LULU) SCHWARTZ,3980.00,2822.00,5168.00,,13729.00
writeIns,71.00,55.00,80.00,115.00,
