condorcet winner: LORI DROSTE,GEORGE BEIER,JACQUELYN MCCORMICK,LORI DROSTE,MIKE ALVAREZ COHEN
GEORGE BEIER,,59.12,49.81,51.63
JACQUELYN MCCORMICK,40.88,,38.47,43.53
LORI DROSTE,50.19,61.53,,56.33
MIKE ALVAREZ COHEN,48.37,56.47,43.67,
