condorcet winner: ED LEE,AMY FARAH WEISS,ED LEE,FRANCISCO HERRERA,KENT GRAHAM,REED MARTIN,STUART SCHUFFMAN,WRITE-IN - DANIEL C KAPPLER,WRITE-IN - IGNACIO L. NUNEZ,WRITE-IN - JOHN E. FITCH,WRITE-IN - KARLA GOTTSCHALK (a.k.a BELLE STARR),WRITE-IN - MICHAEL PETRELIS,"WRITE-IN - ROBERT L. JORDAN, JR."
AMY FARAH WEISS,,33.49,50.79,76.02,81.52,61.11,99.98,100.00,99.99,99.99,99.94,99.99
ED LEE,66.51,,67.28,85.36,88.15,70.98,99.99,100.00,99.99,99.99,99.96,99.99
FRANCISCO HERRERA,49.21,32.72,,72.59,80.57,60.28,99.98,100.00,99.99,99.99,99.93,99.99
KENT GRAHAM,23.98,14.64,27.41,,59.11,34.07,99.95,99.99,99.97,99.97,99.84,99.97
REED MARTIN,18.48,11.85,19.43,40.89,,25.66,99.93,99.99,99.97,99.96,99.79,99.96
STUART SCHUFFMAN,38.89,29.02,39.72,65.93,74.34,,99.97,99.99,99.99,99.99,99.92,99.99
WRITE-IN - DANIEL C KAPPLER,0.02,0.01,0.02,0.05,0.07,0.03,,89.47,66.67,64.00,25.37,64.00
WRITE-IN - IGNACIO L. NUNEZ,0.00,0.00,0.00,0.01,0.01,0.01,10.53,,27.27,25.00,5.66,18.18
WRITE-IN - JOHN E. FITCH,0.01,0.01,0.01,0.03,0.03,0.01,33.33,72.73,,43.75,13.79,50.00
WRITE-IN - KARLA GOTTSCHALK (a.k.a BELLE STARR),0.01,0.01,0.01,0.03,0.04,0.01,36.00,75.00,56.25,,13.79,50.00
WRITE-IN - MICHAEL PETRELIS,0.06,0.04,0.07,0.16,0.21,0.08,74.63,94.34,86.21,86.21,,84.75
"WRITE-IN - ROBERT L. JORDAN, JR.",0.01,0.01,0.01,0.03,0.04,0.01,36.00,81.82,50.00,50.00,15.25,
