condorcet winner: Abdi Warsame,Abdi Warsame,Fadumo Yusuf,Mohamud Noor,Tiffini Forslund
Abdi Warsame,,93.11,51.58,99.84
Fadumo Yusuf,6.89,,6.49,98.93
Mohamud Noor,48.42,93.51,,99.86
Tiffini Forslund,0.16,1.07,0.14,
