"condorcet winner: McGovern, Marc C.","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lemily Wiggins, Gail","Malner, Stefan","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Tauber, Nancy",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6
"Fantini, Alfred B.",,54.89,52.32,59.44,81.34,45.26,47.38,49.06,53.52,98.72,99.67,99.82,99.87,99.85,99.87
"Grassi, Joseph G.",45.11,,51.24,58.54,81.07,44.34,46.05,48.65,52.28,98.62,99.68,99.81,99.87,99.85,99.85
"Harding, Richard, Jr.",47.68,48.76,,60.49,82.22,41.86,44.73,49.03,54.33,98.77,99.71,99.80,99.87,99.85,99.85
"Lemily Wiggins, Gail",40.56,41.46,39.51,,81.52,33.23,35.10,38.62,42.75,98.46,99.68,99.81,99.85,99.83,99.81
"Malner, Stefan",18.66,18.93,17.78,18.48,,15.17,16.28,18.54,16.78,96.80,99.30,99.55,99.75,99.71,99.67
"McGovern, Marc C.",54.74,55.66,58.14,66.77,84.83,,54.59,57.84,62.84,99.09,99.82,99.89,99.90,99.90,99.89
"Nolan, Patricia M.",52.62,53.95,55.27,64.90,83.72,45.41,,55.88,61.05,98.92,99.77,99.86,99.88,99.86,99.88
"Schuster, Luc",50.94,51.35,50.97,61.38,81.46,42.16,44.12,,57.31,98.76,99.70,99.82,99.85,99.84,99.84
"Tauber, Nancy",46.48,47.72,45.67,57.25,83.22,37.16,38.95,42.69,,98.62,99.72,99.80,99.87,99.85,99.83
Write-In 1,1.28,1.38,1.23,1.54,3.20,0.91,1.08,1.24,1.38,,96.04,99.00,98.02,97.06,96.12
Write-In 2,0.33,0.32,0.29,0.32,0.70,0.18,0.23,0.30,0.28,3.96,,100.00,100.00,95.65,91.67
Write-In 3,0.18,0.19,0.20,0.19,0.45,0.11,0.14,0.18,0.20,1.00,0.00,,92.86,86.67,81.25
Write-In 4,0.13,0.13,0.13,0.15,0.25,0.10,0.12,0.15,0.13,1.98,0.00,7.14,,90.00,81.82
Write-In 5,0.15,0.15,0.15,0.17,0.29,0.10,0.14,0.16,0.15,2.94,4.35,13.33,10.00,,81.82
Write-In 6,0.13,0.15,0.15,0.19,0.33,0.11,0.12,0.16,0.17,3.88,8.33,18.75,18.18,18.18,
