condorcet winner: CHERYL DAVILA,CHERYL DAVILA,DARRYL MOORE,NANCI IRA ARMSTRONG-TEMPLE
CHERYL DAVILA,,51.25,53.23
DARRYL MOORE,48.75,,50.57
NANCI IRA ARMSTRONG-TEMPLE,46.77,49.43,
