"condorcet winner: Nolan, Patricia M.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6
"Fantini, Alfred B.",,77.12,69.68,50.27,75.70,45.22,42.66,49.97,78.39,42.00,42.18,98.88,99.63,99.88,99.96,99.96,100.00
"Forster, Bill",22.88,,43.45,24.40,49.81,20.04,18.34,24.87,54.38,18.85,18.45,97.40,99.20,99.71,99.90,99.90,100.00
"Gerber, Joyce C.",30.32,56.55,,30.18,57.83,26.07,22.29,30.65,62.51,23.29,23.08,97.91,99.33,99.77,99.94,99.89,100.00
"Harding, Jr., Richard",49.73,75.60,69.82,,74.50,45.19,42.87,51.90,80.56,43.83,43.23,98.98,99.65,99.86,99.95,99.95,100.00
"Holland, John J.",24.30,50.19,42.17,25.50,,22.81,21.19,28.09,56.94,22.34,22.17,97.53,99.30,99.76,99.93,99.90,100.00
"McGovern, Marc C.",54.78,79.96,73.93,54.81,77.19,,48.81,56.26,81.56,50.55,49.01,99.03,99.66,99.89,99.98,99.98,100.00
"Nolan, Patricia M.",57.34,81.66,77.71,57.13,78.81,51.19,,59.32,81.97,53.35,50.97,99.14,99.67,99.89,99.97,99.98,100.00
"Osborne, Mervan F.",50.03,75.13,69.35,48.10,71.91,43.74,40.68,,78.16,45.53,44.47,98.84,99.63,99.86,99.98,99.95,99.99
"Stead, Sr., Charles Lewis",21.61,45.62,37.49,19.44,43.06,18.44,18.03,21.84,,20.32,19.52,97.25,99.16,99.66,99.89,99.92,100.00
"Tauber, Nancy",58.00,81.15,76.71,56.17,77.66,49.45,46.65,54.47,79.68,,49.79,99.09,99.69,99.88,99.96,99.96,100.00
"Turkel, Alice L.",57.82,81.55,76.92,56.77,77.83,50.99,49.03,55.53,80.48,50.21,,99.07,99.69,99.90,99.97,99.96,99.99
Write-In 1,1.12,2.60,2.09,1.02,2.47,0.97,0.86,1.16,2.75,0.91,0.93,,86.96,99.17,99.17,98.36,100.00
Write-In 2,0.37,0.80,0.67,0.35,0.70,0.34,0.33,0.37,0.84,0.31,0.31,13.04,,97.30,97.30,94.74,97.30
Write-In 3,0.12,0.29,0.23,0.14,0.24,0.11,0.11,0.14,0.34,0.12,0.10,0.83,2.70,,92.86,86.67,92.86
Write-In 4,0.04,0.10,0.06,0.05,0.07,0.02,0.03,0.02,0.11,0.04,0.03,0.83,2.70,7.14,,71.43,83.33
Write-In 5,0.04,0.10,0.11,0.05,0.10,0.02,0.02,0.05,0.08,0.04,0.04,1.64,5.26,13.33,28.57,,83.33
Write-In 6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,2.70,7.14,16.67,16.67,
