condorcet winner: LOREN TAYLOR,DESLEY BROOKS,LOREN TAYLOR,MARLO RODRIGUEZ,MYA WHITAKER,NATASHA MIDDLETON
DESLEY BROOKS,,35.74,54.57,44.36,46.50
LOREN TAYLOR,64.26,,73.86,64.32,71.30
MARLO RODRIGUEZ,45.43,26.14,,35.95,37.12
MYA WHITAKER,55.64,35.68,64.05,,50.15
NATASHA MIDDLETON,53.50,28.70,62.88,49.85,
