condorcet winner: Tom Ammiano,James Boris Perez,Lucrecia Bermudez,Miguel Bustos,Renee Saucedo,Steve Zeltzer,Tom Ammiano,Write-In
James Boris Perez,,27.25,11.81,11.85,42.94,8.98,99.25
Lucrecia Bermudez,72.75,,29.79,17.19,68.98,15.49,99.68
Miguel Bustos,88.19,70.21,,38.36,84.31,29.97,99.84
Renee Saucedo,88.15,82.81,61.64,,87.26,34.97,99.89
Steve Zeltzer,57.06,31.02,15.69,12.74,,8.72,99.33
Tom Ammiano,91.02,84.51,70.03,65.03,91.28,,99.90
Write-In,0.75,0.32,0.16,0.11,0.67,0.10,
