condorcet winner: Andrea Jenkins,Andrea Jenkins,April Kane,David Holsinger,Terry White
Andrea Jenkins,,86.06,91.98,84.06
April Kane,13.94,,84.14,50.50
David Holsinger,8.02,15.86,,15.72
Terry White,15.94,49.50,84.28,
