condorcet winner: DESLEY BROOKS,DESLEY BROOKS,JOSE DORADO,NANCY SIDEBOTHAM
DESLEY BROOKS,,70.86,74.38
JOSE DORADO,29.14,,49.06
NANCY SIDEBOTHAM,25.62,50.94,
