condorcet winner: JANE KIM,DEAN CLARK,DEBRA WALKER,ELAINE ZAMORA,FORTUNATE ''NATE'' PAYNE,GEORGE DAVIS,GEORGE VAZHAPPALLY,GLENDON ''ANNA CONDA'' HYDE,H. BROWN,JAMES KEYS,JANE KIM,JIM MEKO,MATT ASHE,MATT DRAKE,THERESA SPARKS
DEAN CLARK,,13.72,44.18,74.85,74.93,73.51,35.70,70.37,41.61,10.99,52.17,76.48,44.44,19.10
DEBRA WALKER,86.28,,83.34,94.32,94.89,93.53,83.17,92.78,82.68,45.92,87.73,95.33,82.04,60.82
ELAINE ZAMORA,55.82,16.66,,78.16,79.60,77.42,41.44,73.71,47.05,11.62,58.05,80.34,51.33,21.39
FORTUNATE ''NATE'' PAYNE,25.15,5.68,21.84,,50.59,46.11,15.78,42.80,19.47,4.81,27.73,52.95,20.75,7.64
GEORGE DAVIS,25.07,5.11,20.40,49.41,,48.12,15.62,42.66,19.15,4.46,26.88,51.92,21.85,7.38
GEORGE VAZHAPPALLY,26.49,6.47,22.58,53.89,51.88,,17.45,44.29,20.80,4.92,28.71,54.33,22.18,8.43
GLENDON ''ANNA CONDA'' HYDE,64.30,16.83,58.56,84.22,84.38,82.55,,79.68,55.51,13.38,66.18,85.76,60.18,29.80
H. BROWN,29.63,7.22,26.29,57.20,57.34,55.71,20.32,,24.05,4.99,33.69,60.28,28.11,9.86
JAMES KEYS,58.39,17.32,52.95,80.53,80.85,79.20,44.49,75.95,,15.12,61.05,82.10,54.50,25.27
JANE KIM,89.01,54.08,88.38,95.19,95.54,95.08,86.62,95.01,84.88,,89.46,95.95,86.62,65.90
JIM MEKO,47.83,12.27,41.95,72.27,73.12,71.29,33.82,66.31,38.95,10.54,,75.48,41.84,16.70
MATT ASHE,23.52,4.67,19.66,47.05,48.08,45.67,14.24,39.72,17.90,4.05,24.52,,20.01,6.41
MATT DRAKE,55.56,17.96,48.67,79.25,78.15,77.82,39.82,71.89,45.50,13.38,58.16,79.99,,20.21
THERESA SPARKS,80.90,39.18,78.61,92.36,92.62,91.57,70.20,90.14,74.73,34.10,83.30,93.59,79.79,
