condorcet winner: RASHI KESARWANI,IGOR A. TREGUB,MARGO SCHUELER,MARY BEHM-STEINBERG,RASHI KESARWANI
IGOR A. TREGUB,,63.65,84.47,45.50
MARGO SCHUELER,36.35,,77.71,35.00
MARY BEHM-STEINBERG,15.53,22.29,,19.58
RASHI KESARWANI,54.50,65.00,80.42,
