condorcet winner: ED LEE,BEVAN DUFTY,CESAR ASCARRUNZ,DAVID CHIU,DENNIS HERRERA,ED LEE,EMIL LAWRENCE,JEFF ADACHI,JOANNA REES,JOHN AVALOS,LELAND YEE,MICHELA ALIOTO-PIER,PAUL CURRIER,PHIL TING,TERRY JOAN BAUM,TONY HALL,WILMA PANG,WRITE-IN DAVID VILLA-LOBOS,WRITE-IN GILBERT LOUIS FRANCIS,WRITE-IN HAROLD MILLER,WRITE-IN LEA SHERMAN,WRITE-IN PATRICK MONETTE-SHAW,WRITE-IN ROBERT 'BOBBY' JORDAN,WRITE-IN RODNEY HAUGE
BEVAN DUFTY,,89.83,31.71,27.31,21.84,94.35,42.46,71.65,30.83,38.54,55.65,95.41,71.73,78.46,67.71,86.84,99.98,99.98,99.97,99.97,99.95,99.98,99.97
CESAR ASCARRUNZ,10.17,,5.52,3.96,3.27,66.23,7.54,21.66,4.27,6.53,11.64,70.30,22.47,29.16,18.53,43.49,99.84,99.87,99.72,99.77,99.56,99.82,99.74
DAVID CHIU,68.29,94.48,,46.64,31.53,97.01,61.38,83.92,48.83,55.84,71.85,97.60,88.31,87.54,80.84,94.19,99.99,99.99,99.98,99.99,99.97,99.99,99.98
DENNIS HERRERA,72.69,96.04,53.36,,41.91,97.53,64.20,86.11,46.88,62.93,75.36,98.04,85.43,89.64,83.14,93.65,99.99,99.99,99.99,99.99,99.98,99.99,99.99
ED LEE,78.16,96.73,68.47,58.09,,98.29,72.22,89.58,59.64,69.36,82.63,98.56,94.35,91.22,87.74,97.73,99.99,100.00,99.99,99.99,99.99,99.99,99.99
EMIL LAWRENCE,5.65,33.77,2.99,2.47,1.71,,3.96,12.05,2.81,3.63,6.18,54.88,13.06,17.39,9.95,28.12,99.75,99.75,99.46,99.55,99.16,99.65,99.50
JEFF ADACHI,57.54,92.46,38.62,35.80,27.78,96.04,,77.96,35.81,45.53,63.10,96.66,78.12,82.61,75.05,90.42,99.99,99.99,99.98,99.98,99.97,99.98,99.98
JOANNA REES,28.35,78.34,16.08,13.89,10.42,87.95,22.04,,16.18,19.99,32.04,89.73,50.69,59.76,44.76,73.52,99.96,99.96,99.92,99.93,99.87,99.95,99.93
JOHN AVALOS,69.17,95.73,51.17,53.12,40.36,97.19,64.19,83.82,,61.42,72.07,97.92,83.52,94.38,80.72,93.10,99.99,99.99,99.99,99.99,99.98,99.99,99.98
LELAND YEE,61.46,93.47,44.16,37.07,30.64,96.37,54.47,80.01,38.58,,67.29,97.08,81.26,85.13,77.30,91.85,99.99,99.99,99.98,99.98,99.97,99.99,99.98
MICHELA ALIOTO-PIER,44.35,88.36,28.15,24.64,17.37,93.82,36.90,67.96,27.93,32.71,,94.55,67.32,74.83,63.30,84.76,99.98,99.98,99.96,99.97,99.94,99.97,99.96
PAUL CURRIER,4.59,29.70,2.40,1.96,1.44,45.12,3.34,10.27,2.08,2.92,5.45,,11.09,14.63,8.96,24.11,99.64,99.70,99.34,99.46,98.99,99.58,99.40
PHIL TING,28.27,77.53,11.69,14.57,5.65,86.94,21.88,49.31,16.48,18.74,32.68,88.91,,58.92,45.20,73.48,99.95,99.96,99.92,99.93,99.87,99.95,99.92
TERRY JOAN BAUM,21.54,70.84,12.46,10.36,8.78,82.61,17.39,40.24,5.62,14.87,25.17,85.37,41.08,,36.81,65.11,99.95,99.95,99.88,99.90,99.81,99.92,99.89
TONY HALL,32.29,81.47,19.16,16.86,12.26,90.05,24.95,55.24,19.28,22.70,36.70,91.04,54.80,63.19,,76.02,99.97,99.97,99.93,99.94,99.90,99.95,99.94
WILMA PANG,13.16,56.51,5.81,6.35,2.27,71.88,9.58,26.48,6.90,8.15,15.24,75.89,26.52,34.89,23.98,,99.88,99.90,99.78,99.82,99.66,99.86,99.80
WRITE-IN DAVID VILLA-LOBOS,0.02,0.16,0.01,0.01,0.01,0.25,0.01,0.04,0.01,0.01,0.02,0.36,0.05,0.05,0.03,0.12,,54.55,35.29,40.00,26.09,46.15,37.50
WRITE-IN GILBERT LOUIS FRANCIS,0.02,0.13,0.01,0.01,0.00,0.25,0.01,0.04,0.01,0.01,0.02,0.30,0.04,0.05,0.03,0.10,45.45,,31.25,35.71,22.73,41.67,35.71
WRITE-IN HAROLD MILLER,0.03,0.28,0.02,0.01,0.01,0.54,0.02,0.08,0.01,0.02,0.04,0.66,0.08,0.12,0.07,0.22,64.71,68.75,,55.00,39.29,61.11,52.38
WRITE-IN LEA SHERMAN,0.03,0.23,0.01,0.01,0.01,0.45,0.02,0.07,0.01,0.02,0.03,0.54,0.07,0.10,0.06,0.18,60.00,64.29,45.00,,34.62,56.25,47.37
WRITE-IN PATRICK MONETTE-SHAW,0.05,0.44,0.03,0.02,0.01,0.84,0.03,0.13,0.02,0.03,0.06,1.01,0.13,0.19,0.10,0.34,73.91,77.27,60.71,65.38,,70.83,62.96
WRITE-IN ROBERT 'BOBBY' JORDAN,0.02,0.18,0.01,0.01,0.01,0.35,0.02,0.05,0.01,0.01,0.03,0.42,0.05,0.08,0.05,0.14,53.85,58.33,38.89,43.75,29.17,,41.18
WRITE-IN RODNEY HAUGE,0.03,0.26,0.02,0.01,0.01,0.50,0.02,0.07,0.02,0.02,0.04,0.60,0.08,0.11,0.06,0.20,62.50,64.29,47.62,52.63,37.04,58.82,
