"condorcet winner: Walser, Nancy","Craig, Christopher","Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Price, Alan C.","Walser, Nancy",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6
"Craig, Christopher",,30.37,31.01,25.82,24.32,23.85,28.82,21.50,96.22,99.29,99.50,99.73,99.85,99.87
"Fantini, Alfred B.",69.63,,55.63,47.66,48.77,48.63,51.48,41.64,97.89,99.54,99.66,99.84,99.92,99.95
"Grassi, Joseph G.",68.99,44.37,,46.44,47.51,47.51,51.30,40.80,97.84,99.53,99.66,99.84,99.90,99.95
"Harding, Richard, Jr.",74.18,52.34,53.56,,51.90,51.60,56.60,42.87,98.23,99.60,99.69,99.83,99.88,99.92
"Lummis, Ben",75.68,51.23,52.49,48.10,,52.05,54.81,43.15,98.27,99.67,99.76,99.87,99.94,99.97
"McGovern, Marc C.",76.15,51.37,52.49,48.40,47.95,,54.39,44.37,98.24,99.67,99.74,99.87,99.93,99.94
"Price, Alan C.",71.18,48.52,48.70,43.40,45.19,45.61,,38.10,97.86,99.52,99.66,99.79,99.88,99.94
"Walser, Nancy",78.50,58.36,59.20,57.13,56.85,55.63,61.90,,98.25,99.59,99.70,99.85,99.90,99.94
Write-In 1,3.78,2.11,2.16,1.77,1.73,1.76,2.14,1.75,,96.07,97.80,99.11,99.11,99.11
Write-In 2,0.71,0.46,0.47,0.40,0.33,0.33,0.48,0.41,3.93,,92.73,98.08,96.23,96.23
Write-In 3,0.50,0.34,0.34,0.31,0.24,0.26,0.34,0.30,2.20,7.27,,97.14,100.00,97.14
Write-In 4,0.27,0.16,0.16,0.17,0.13,0.13,0.21,0.15,0.89,1.92,2.86,,89.47,89.47
Write-In 5,0.15,0.08,0.10,0.12,0.06,0.07,0.12,0.10,0.89,3.77,0.00,10.53,,91.67
Write-In 6,0.13,0.05,0.05,0.08,0.03,0.06,0.06,0.06,0.89,3.77,2.86,10.53,8.33,
