condorcet winner: Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,Steffanie Musich
Andrea Fahrenkrug,,46.48,26.59
Bill Shroyer,53.52,,29.86
Steffanie Musich,73.41,70.14,
