condorcet winner: Don Samuels,Don Samuels,Kenya McKnight,Lennie Chism,Natalie Johnson Lee,Roger Smithrud
Don Samuels,,63.40,79.02,55.88,89.11
Kenya McKnight,36.60,,78.81,37.68,83.80
Lennie Chism,20.98,21.19,,14.93,68.21
Natalie Johnson Lee,44.12,62.32,85.07,,86.88
Roger Smithrud,10.89,16.20,31.79,13.12,
