condorcet winner: Lisa Bender,Bruce Lundeen,David Schorn,Lisa Bender,Saralyn Romanishan
Bruce Lundeen,,12.09,10.31,11.53
David Schorn,87.91,,20.66,34.99
Lisa Bender,89.69,79.34,,71.99
Saralyn Romanishan,88.47,65.01,28.01,
