"condorcet winner: Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Weinstein, David J.",Write-In 01,Write-In 02,Write-In 03,Write-In 04,Write-In 05,Write-In 06
"Bowman, Manikka L.",,65.52,71.06,50.10,60.15,74.12,55.99,65.59,74.66,79.01,41.25,71.90,98.89,99.53,99.85,99.86,99.90,99.90
"Cronin, Fran A.",34.48,,60.30,35.27,46.07,60.55,42.18,52.81,63.56,69.12,30.00,60.73,98.51,99.35,99.81,99.88,99.95,99.92
"Crutchfield, Jake W.",28.94,39.70,,25.39,38.94,52.47,34.12,43.57,57.60,62.78,23.40,52.44,97.97,99.12,99.77,99.83,99.88,99.86
"Dexter, Emily R.",49.90,64.73,74.61,,63.12,76.47,58.54,67.13,78.94,83.29,44.52,76.54,99.01,99.55,99.88,99.90,99.94,99.93
"Fantini, Alfred B.",39.85,53.93,61.06,36.88,,63.07,47.27,56.62,66.91,71.17,34.70,63.51,98.61,99.38,99.83,99.83,99.90,99.90
"Kadete, Elechi M.",25.88,39.45,47.53,23.53,36.93,,32.98,42.23,55.35,61.82,22.61,50.66,98.00,99.09,99.73,99.80,99.86,99.87
"Kelly, Kathleen M.",44.01,57.82,65.88,41.46,52.73,67.02,,60.31,70.81,75.73,38.24,68.00,98.81,99.43,99.86,99.87,99.92,99.90
"Kimbrough, Laurance V.",34.41,47.19,56.43,32.87,43.38,57.77,39.69,,63.74,67.75,31.28,59.83,98.54,99.25,99.79,99.81,99.87,99.87
"MacArthur, William",25.34,36.44,42.40,21.06,33.09,44.65,29.19,36.26,,57.71,20.46,47.69,97.72,98.95,99.72,99.76,99.82,99.84
"Mitros, Piotr Flawiusz",20.99,30.88,37.22,16.71,28.83,38.18,24.27,32.25,42.29,,16.07,42.18,97.15,98.74,99.67,99.67,99.78,99.78
"Nolan, Patricia M.",58.75,70.00,76.60,55.48,65.30,77.39,61.76,68.72,79.54,83.93,,79.14,99.17,99.61,99.89,99.91,99.95,99.92
"Weinstein, David J.",28.10,39.27,47.56,23.46,36.49,49.34,32.00,40.17,52.31,57.82,20.86,,97.90,99.07,99.75,99.75,99.82,99.82
Write-In 01,1.11,1.49,2.03,0.99,1.39,2.00,1.19,1.46,2.28,2.85,0.83,2.10,,82.08,97.28,97.32,97.32,95.39
Write-In 02,0.47,0.65,0.88,0.45,0.62,0.91,0.57,0.75,1.05,1.26,0.39,0.93,17.92,,91.67,91.80,94.92,90.32
Write-In 03,0.15,0.19,0.23,0.12,0.17,0.27,0.14,0.21,0.28,0.33,0.11,0.25,2.72,8.33,,66.67,80.00,69.57
Write-In 04,0.14,0.12,0.17,0.10,0.17,0.20,0.13,0.19,0.24,0.33,0.09,0.25,2.68,8.20,33.33,,88.24,75.00
Write-In 05,0.10,0.05,0.12,0.06,0.10,0.14,0.08,0.13,0.18,0.22,0.05,0.18,2.68,5.08,20.00,11.76,,56.25
Write-In 06,0.10,0.08,0.14,0.07,0.10,0.13,0.10,0.13,0.16,0.22,0.08,0.18,4.61,9.68,30.43,25.00,43.75,
