condorcet winner: CORINA LOPEZ,CORINA LOPEZ,LEAH HALL,MIA OUSLEY
CORINA LOPEZ,,67.16,65.95
LEAH HALL,32.84,,47.69
MIA OUSLEY,34.05,52.31,
