condorcet winner: Sandy Colvin Roy,Brent Perry,Charley Underwood,Rick L. Nyhlen,Sandy Colvin Roy
Brent Perry,,14.70,25.29,9.72
Charley Underwood,85.30,,59.92,22.76
Rick L. Nyhlen,74.71,40.08,,24.22
Sandy Colvin Roy,90.28,77.24,75.78,
