condorcet winner: JUMOKE HINTON HODGE,BENJAMIN LANG,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,LUCKY NARAIN,MISTY CROSS
BENJAMIN LANG,,41.61,41.87,81.12,99.63
JUMOKE HINTON HODGE,58.39,,52.39,81.76,99.69
KHARYSHI ''MS. K'' WIGINTON,58.13,47.61,,81.15,99.73
LUCKY NARAIN,18.88,18.24,18.85,,98.96
MISTY CROSS,0.37,0.31,0.27,1.04,
