condorcet winner: BENNY LEE,BENNY LEE,CHRIS CROW,DARLENE DAEVU,JUSTIN HUTCHISON
BENNY LEE,,60.99,61.98,73.57
CHRIS CROW,39.01,,51.64,67.11
DARLENE DAEVU,38.02,48.36,,64.99
JUSTIN HUTCHISON,26.43,32.89,35.01,
