condorcet winner: NINA SENN,CHERI SPIGNER,KARL DEBRO,NINA SENN,SALEEM SHAKIR-GILMORE
CHERI SPIGNER,,23.26,21.13,29.22
KARL DEBRO,76.74,,47.59,58.46
NINA SENN,78.87,52.41,,62.52
SALEEM SHAKIR-GILMORE,70.78,41.54,37.48,
