"condorcet winner: Davis, Henrietta","Adkins, Lawrence J.","Condit, James E., III","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.","Green, Andre Lerone","Hall, Robert Lee, Sr.","Hees, Bill","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Seidel, Sam","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.",Write-In 1,Write-In 2,Write-In 3,Write-In 4,Write-In 5,Write-In 6,Write-In 7,Write-In 8,Write-In 9
"Adkins, Lawrence J.",,71.30,16.39,16.02,16.16,32.97,55.48,61.42,57.30,27.18,59.43,21.87,19.34,17.86,25.46,14.21,15.52,21.61,96.01,99.27,99.48,99.70,99.70,99.78,99.78,99.74,99.78
"Condit, James E., III",28.70,,9.00,9.09,8.59,20.76,38.73,44.33,39.97,16.84,42.94,11.69,10.74,10.78,15.16,8.58,8.12,11.52,93.59,98.48,99.01,99.34,99.34,99.53,99.60,99.53,99.60
"Davis, Henrietta",83.61,91.00,,50.08,50.27,75.49,87.25,89.58,87.95,68.42,89.08,61.77,57.50,58.02,66.71,52.40,50.43,59.07,99.02,99.76,99.82,99.89,99.89,99.92,99.94,99.92,99.94
"Decker, Marjorie C.",83.98,90.91,49.92,,51.85,76.45,87.34,89.93,88.21,68.66,89.53,62.20,59.36,60.75,66.98,54.33,51.24,60.16,99.17,99.80,99.84,99.88,99.88,99.91,99.93,99.91,99.93
"Galluccio, Anthony D.",83.84,91.41,49.73,48.15,,72.67,87.53,90.91,88.68,67.82,89.12,64.61,58.18,58.69,64.93,52.03,53.27,63.36,99.10,99.85,99.89,99.91,99.91,99.94,99.95,99.94,99.94
"Gordon, Jesse A.",67.03,79.24,24.51,23.55,27.33,,74.38,78.36,75.60,44.37,76.34,35.63,30.42,34.28,41.42,27.11,28.55,36.67,98.03,99.69,99.72,99.85,99.85,99.90,99.90,99.87,99.87
"Green, Andre Lerone",44.52,61.27,12.75,12.66,12.47,25.62,,61.22,57.14,25.25,56.98,18.53,16.73,16.51,23.44,13.56,13.41,18.61,95.75,99.12,99.36,99.61,99.61,99.75,99.80,99.75,99.75
"Hall, Robert Lee, Sr.",38.58,55.67,10.42,10.07,9.09,21.64,38.78,,50.24,21.52,51.15,14.90,13.82,12.55,20.36,10.25,9.95,14.90,94.71,98.92,99.26,99.54,99.60,99.77,99.77,99.71,99.71
"Hees, Bill",42.70,60.03,12.05,11.79,11.32,24.40,42.86,49.76,,24.01,55.17,16.79,15.41,15.78,22.30,13.06,12.14,17.35,95.20,99.05,99.32,99.58,99.58,99.74,99.79,99.74,99.74
"Kelley, Craig A.",72.82,83.16,31.58,31.34,32.18,55.63,74.75,78.48,75.99,,80.84,41.64,37.66,39.78,47.07,33.90,33.91,42.08,98.35,99.67,99.76,99.85,99.85,99.89,99.91,99.89,99.89
"LaTremouille, Robert J.",40.57,57.06,10.92,10.47,10.88,23.66,43.02,48.85,44.83,19.16,,16.73,14.43,14.80,21.10,11.82,11.46,16.46,95.18,98.92,99.19,99.46,99.46,99.62,99.67,99.67,99.73
"Maher, David P.",78.13,88.31,38.23,37.80,35.39,64.37,81.47,85.10,83.21,58.36,83.27,,48.01,48.86,56.78,41.92,38.99,51.81,98.62,99.68,99.79,99.87,99.87,99.92,99.94,99.92,99.92
"Murphy, Brian",80.66,89.26,42.50,40.64,41.82,69.58,83.27,86.18,84.59,62.34,85.57,51.99,,53.09,62.63,46.29,44.09,53.69,98.83,99.76,99.81,99.87,99.85,99.90,99.91,99.90,99.91
"Reeves, Kenneth E.",82.14,89.22,41.98,39.25,41.31,65.72,83.49,87.45,84.22,60.22,85.20,51.14,46.91,,58.96,43.51,43.71,54.09,98.77,99.72,99.80,99.88,99.89,99.91,99.91,99.89,99.91
"Seidel, Sam",74.54,84.84,33.29,33.02,35.07,58.58,76.56,79.64,77.70,52.93,78.90,43.22,37.37,41.04,,35.96,36.47,44.31,98.46,99.73,99.82,99.88,99.88,99.90,99.92,99.90,99.90
"Simmons, Denise",85.79,91.42,47.60,45.67,47.97,72.89,86.44,89.75,86.94,66.10,88.18,58.08,53.71,56.49,64.04,,51.03,60.38,99.12,99.82,99.84,99.91,99.91,99.95,99.95,99.93,99.95
"Sullivan, Michael A.",84.48,91.88,49.57,48.76,46.73,71.45,86.59,90.05,87.86,66.09,88.54,61.01,55.91,56.29,63.53,48.97,,65.08,98.99,99.77,99.87,99.91,99.91,99.92,99.94,99.92,99.92
"Toomey, Timothy J., Jr.",78.39,88.48,40.93,39.84,36.64,63.33,81.39,85.10,82.65,57.92,83.54,48.19,46.31,45.91,55.69,39.62,34.92,,98.59,99.66,99.78,99.85,99.85,99.90,99.92,99.90,99.90
Write-In 1,3.99,6.41,0.98,0.83,0.90,1.97,4.25,5.29,4.80,1.65,4.82,1.38,1.17,1.23,1.54,0.88,1.01,1.41,,95.65,98.23,99.11,98.23,99.11,100.00,99.11,99.11
Write-In 2,0.73,1.52,0.24,0.20,0.15,0.31,0.88,1.08,0.95,0.33,1.08,0.32,0.24,0.28,0.27,0.18,0.23,0.34,4.35,,96.00,100.00,96.00,100.00,100.00,96.00,96.00
Write-In 3,0.52,0.99,0.18,0.16,0.11,0.28,0.64,0.74,0.68,0.24,0.81,0.21,0.19,0.20,0.18,0.16,0.13,0.22,1.77,4.00,,100.00,93.75,93.75,100.00,93.75,93.75
Write-In 4,0.30,0.66,0.11,0.12,0.09,0.15,0.39,0.46,0.42,0.15,0.54,0.13,0.13,0.12,0.12,0.09,0.09,0.15,0.89,0.00,0.00,,90.91,90.91,100.00,90.91,90.91
Write-In 5,0.30,0.66,0.11,0.12,0.09,0.15,0.39,0.40,0.42,0.15,0.54,0.13,0.15,0.11,0.12,0.09,0.09,0.15,1.77,4.00,6.25,9.09,,90.91,100.00,90.91,90.91
Write-In 6,0.22,0.47,0.08,0.09,0.06,0.10,0.25,0.23,0.26,0.11,0.38,0.08,0.10,0.09,0.10,0.05,0.08,0.10,0.89,0.00,6.25,9.09,9.09,,100.00,87.50,87.50
Write-In 7,0.22,0.40,0.06,0.07,0.05,0.10,0.20,0.23,0.21,0.09,0.33,0.06,0.09,0.09,0.08,0.05,0.06,0.08,0.00,0.00,0.00,0.00,0.00,0.00,,85.71,85.71
Write-In 8,0.26,0.47,0.08,0.09,0.06,0.13,0.25,0.29,0.26,0.11,0.33,0.08,0.10,0.11,0.10,0.07,0.08,0.10,0.89,4.00,6.25,9.09,9.09,12.50,14.29,,85.71
Write-In 9,0.22,0.40,0.06,0.07,0.06,0.13,0.25,0.29,0.26,0.11,0.27,0.08,0.09,0.09,0.10,0.05,0.08,0.10,0.89,4.00,6.25,9.09,9.09,12.50,14.29,14.29,
