condorcet winner: Carol Kummer,Carol Kummer,Dan W. Peterson,Jason Stone,McClain Looney,Steve Barland
Carol Kummer,,86.85,52.53,93.40,62.67
Dan W. Peterson,13.15,,17.69,67.30,20.08
Jason Stone,47.47,82.31,,90.57,58.59
McClain Looney,6.60,32.70,9.43,,12.27
Steve Barland,37.33,79.92,41.41,87.73,
