condorcet winner: NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO,JOHN FARRELL,MIKE YOUNG,NORMAN YEE
BEN MATRANGA,,49.18,58.28,67.67,40.80
JOEL ENGARDIO,50.82,,56.46,66.51,42.01
JOHN FARRELL,41.72,43.54,,64.75,36.98
MIKE YOUNG,32.33,33.49,35.25,,26.55
NORMAN YEE,59.20,57.99,63.02,73.45,
