condorcet winner: DARRYL MOORE,ADOLFO CABRAL,DARRYL MOORE,DENISHA DELANE
ADOLFO CABRAL,,27.94,28.82
DARRYL MOORE,72.06,,63.24
DENISHA DELANE,71.18,36.76,
