condorcet winner: Jeremiah Ellison,Blong Yang,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams
Blong Yang,,77.95,43.34,62.57
Cathy Spann,22.05,,14.61,30.83
Jeremiah Ellison,56.66,85.39,,78.11
Raeisha (RA) Williams,37.43,69.17,21.89,
