condorcet winner: MALIA COHEN,ED DONALDSON,MALIA COHEN,MARLENE TRAN,SHAWN M. RICHARD,TONY KELLY
ED DONALDSON,,19.14,35.77,46.08,23.88
MALIA COHEN,80.86,,71.40,80.54,64.08
MARLENE TRAN,64.23,28.60,,61.34,43.33
SHAWN M. RICHARD,53.92,19.46,38.66,,29.85
TONY KELLY,76.12,35.92,56.67,70.15,
