condorcet winner: DAN KALB,AMY LEMLEY,CRAIG BRANDT,DAN KALB,DONALD MACLEAY,GORDON ''DON'' LINK,LEN RAPHAEL,RICHARD RAYA
AMY LEMLEY,,79.21,48.22,81.30,76.88,78.90,56.30
CRAIG BRANDT,20.79,,20.41,50.35,46.28,49.48,26.09
DAN KALB,51.78,79.59,,82.72,78.18,79.90,59.23
DONALD MACLEAY,18.70,49.65,17.28,,41.94,44.95,23.08
GORDON ''DON'' LINK,23.12,53.72,21.82,58.06,,53.13,27.99
LEN RAPHAEL,21.10,50.52,20.10,55.05,46.87,,25.60
RICHARD RAYA,43.70,73.91,40.77,76.92,72.01,74.40,
