condorcet winner: C03,C01,C02,C03,C04,C05,C06
C01,,19.90,10.29,14.63,52.07,88.53
C02,80.10,,37.21,39.08,79.63,95.06
C03,89.71,62.79,,54.44,92.13,97.45
C04,85.37,60.92,45.56,,87.35,95.81
C05,47.93,20.37,7.87,12.65,,85.92
C06,11.47,4.94,2.55,4.19,14.08,
