condorcet winner: GORDON WOZNIAK,GORDON WOZNIAK,JACQUELYN McCORMICK,STEWART JONES
GORDON WOZNIAK,,70.39,69.69
JACQUELYN McCORMICK,29.61,,47.71
STEWART JONES,30.31,52.29,
