condorcet winner: REBECCA KAPLAN,CAROL LEE TOLBERT,IGNACIO DE LA FUENTE,MICK STORM,REBECCA KAPLAN,THERESA ANDERSON
CAROL LEE TOLBERT,,43.99,80.09,31.89,71.56
IGNACIO DE LA FUENTE,56.01,,80.21,39.30,69.40
MICK STORM,19.91,19.79,,14.26,35.74
REBECCA KAPLAN,68.11,60.70,85.74,,78.91
THERESA ANDERSON,28.44,30.60,64.26,21.09,
