condorcet winner: Lisa Goodman,Jeffrey Alan Wagner,Lisa Goodman,Michael J. Katch
Jeffrey Alan Wagner,,21.38,28.83
Lisa Goodman,78.62,,71.09
Michael J. Katch,71.17,28.91,
