condorcet winner: SUSAN WENGRAF,FRED DODSWORTH,ISABELLE GASTON,SUSAN WENGRAF
FRED DODSWORTH,,65.90,35.02
ISABELLE GASTON,34.10,,25.67
SUSAN WENGRAF,64.98,74.33,
